Nom_Hotel,Adresse,Nom_Suite,Services,Note,Nbr_Experiences,Periode,Date,Prix
Radisson RED Oslo Okern,"Grünerløkka, Oslo",Chambre Standard,Plusieurs types de lits,"8,9",3 552 expériences vécues,"1 nuit, 1 adulte",,€ 110
Rom # 3 Appartmenthotel Oslo,Oslo,Chambre Simple,1 lit simple,,"1 nuit, 1 adulte",Taxes et frais compris,,€ 46
Comfort Hotel Karl Johan,"Oslo City Centre, Oslo",Chambre Double ou Lits Jumeaux Économique ,1 lit double,"7,5",1 880 expériences vécues,"1 nuit, 1 adulte",,€ 190€ 176-7 %
K7 Hotel Oslo,"Oslo City Centre, Oslo",Lit Simple dans Dortoir de 12 Lits,1 lit superposé,"7,8",2 611 expériences vécues,"1 nuit, 1 adulte",,€ 41€ 35-15 %
Park Inn by Radisson Oslo,"Oslo City Centre, Oslo",Chambre Standard,Types de lits : 1 lit double ou 2 lits simples,"8,1",4 262 expériences vécues,"1 nuit, 1 adulte",,€ 157
Quality Hotel Hasle Linie,"Grünerløkka, Oslo",Chambre Simple Standard,1 lit simple,"8,4",1 372 expériences vécues,"1 nuit, 1 adulte",,€ 117€ 109-7 %
P-Hotels Oslo,"Oslo City Centre, Oslo",Chambre Simple,1 lit simple,"6,7",4 346 expériences vécues,"1 nuit, 1 adulte",,€ 97
Comfort Hotel Børsparken,"Oslo City Centre, Oslo",Chambre Simple Standard,1 lit simple,"7,6",2 306 expériences vécues,"1 nuit, 1 adulte",,€ 181€ 169-7 %
Hotell Bondeheimen,"Oslo City Centre, Oslo",Chambre Simple,1 lit simple,"8,4",9 780 expériences vécues,"1 nuit, 1 adulte",,€ 186
Quality Hotel 33,Oslo,Chambre Simple,1 lit simple,"7,3",842 expériences vécues,"1 nuit, 1 adulte",,€ 92€ 86-7 %
Comfort Hotel Xpress Central Station,"Oslo City Centre, Oslo",Chambre Double Économique,1 lit double,"7,9",3 710 expériences vécues,"1 nuit, 1 adulte",,€ 152€ 141-7 %
Thon Hotel Opera,"Oslo City Centre, Oslo",Chambre Lits Jumeaux Standard,2 lits simples,"8,4",1 120 expériences vécues,"1 nuit, 1 adulte",,€ 166
Radisson Blu Hotel Oslo Alna,Oslo,Chambre Standard,Types de lits : 1 lit double ou 2 lits simples,"7,4",3 368 expériences vécues,"1 nuit, 1 adulte",,€ 110
Bob W Sentralen,"Oslo City Centre, Oslo",Studio,1 lit simple,"8,8",856 expériences vécues,"1 nuit, 1 adulte",,€ 168
Old and charming penthouse,Oslo,Appartement 2 Chambres,Hébergement géré par un particulier,,"1 nuit, 1 adulte",Taxes et frais compris,,€ 146€ 117-20 %
Central City Apartments,"Gamle Oslo, Oslo",Chambre Double Économique (Lit de 140 cm),1 lit double,"7,0",2 272 expériences vécues,"1 nuit, 1 adulte",,€ 88
Bedroom in apartment 12 minutes to Oslo City by train,Oslo,Chambre Triple Classique,Hébergement géré par un particulier,"8,5",82 expériences vécues,"1 nuit, 1 adulte",,€ 87€ 65-25 %
The Apartments Company - Bislett,"St. Hanshaugen, Oslo",Studio (1 Adulte) - Thereses Gate 28C,1 lit simple,"8,2",362 expériences vécues,"1 nuit, 1 adulte",,€ 95
Thon Hotel Vika Atrium,"Frogner, Oslo",Chambre Double,1 lit double,"8,5",1 139 expériences vécues,"1 nuit, 1 adulte",,€ 166
Scandic Solli,"Frogner, Oslo",Chambre Standard Lit Queen-Size,2 lits simples,"7,4",1 121 expériences vécues,"1 nuit, 1 adulte",,€ 162
Clarion Collection Hotel Gabelshus,"Frogner, Oslo",Chambre Simple Standard avec Repas du Soir,1 lit simple,"8,1",1 264 expériences vécues,"1 nuit, 1 adulte",,€ 156€ 145-7 %
Scandic Sjølyst,Oslo,Chambre Familiale,"2 lits (1 lit simple, 1 lit double)","8,3",1 768 expériences vécues,"1 nuit, 1 adulte",,€ 119
Clarion Collection Hotel Bastion,"Oslo City Centre, Oslo",Chambre Simple Standard avec Repas du Soir,1 lit simple,"8,0",1 918 expériences vécues,"1 nuit, 1 adulte",,€ 159€ 148-7 %
Thon Hotel Astoria,"Oslo City Centre, Oslo",Chambre Simple Standard,1 lit simple,"8,1",3 441 expériences vécues,"1 nuit, 1 adulte",,€ 172
Forenom Aparthotel Oslo,"Gamle Oslo, Oslo",Studio pour 2 Personnes,2 lits simples,"7,7",2 366 expériences vécues,"1 nuit, 1 adulte",,€ 134€ 120-10 %
Thon Hotel Storo,Oslo,Chambre Double Standard,1 lit double,"8,9",917 expériences vécues,"1 nuit, 1 adulte",,€ 154
