Nom_Hotel,Adresse,Nom_Suite,Services,Note,Nbr_Experiences,Periode,Date,Prix
City Center Best Place Apartments,"Staré Mesto, Bratislava",Appartement,"2 lits (1 lit double, 1 futon)","8,6",6 129 expériences vécues,"1 nuit, 1 adulte",,€ 104€ 96-8 %
Schöndorf Hostel - virtual reception,"Staré Mesto, Bratislava",Lit dans Dortoir Mixte de 6 Lits,1 lit superposé,"8,7",1 580 expériences vécues,"1 nuit, 1 adulte",,€ 32€ 29-7 %
Apartment Freedom 1,"Staré Mesto, Bratislava",Appartement avec Salle de Bains Commune,2 lits doubles,"7,6",73 expériences vécues,"1 nuit, 1 adulte",,€ 43€ 39-7 %
Garni Hotel DOCK Bratislava,"Ruzinov, Bratislava",Chambre Double ou Lits Jumeaux,1 lit double,"9,0",1 345 expériences vécues,"1 nuit, 1 adulte",,€ 96
Retro Hotel Suza,"Staré Mesto, Bratislava",Chambre Double,1 grand lit double,"7,0",594 expériences vécues,"1 nuit, 1 adulte",,€ 72
Hotel Expo,"Petrzalka, Bratislava",Chambre Double,1 grand lit double,"6,7",860 expériences vécues,"1 nuit, 1 adulte",,€ 56
Film Hotel,"Staré Mesto, Bratislava",Chambre Simple Standard,1 lit simple,"7,2",892 expériences vécues,"1 nuit, 1 adulte",,€ 71€ 66-8 %
Hotel Esprit,"Petrzalka, Bratislava",Chambre Double Standard,1 grand lit double,"8,0",1 345 expériences vécues,"1 nuit, 1 adulte",,€ 111
Felicity Garni Hotel,"Ruzinov, Bratislava",Chambre Simple,1 lit simple,"9,1",1 490 expériences vécues,"1 nuit, 1 adulte",,€ 93€ 86-8 %
Hotel SET,"Nove Mesto, Bratislava",Chambre Simple,1 lit simple,"8,5",778 expériences vécues,"1 nuit, 1 adulte",,€ 123
Tempus Club Garni Hotel,"Ruzinov, Bratislava",Chambre Simple Standard,1 lit simple,"8,3",255 expériences vécues,"1 nuit, 1 adulte",,€ 83€ 77-8 %
Mama's Design & Boutique Hotel,"Staré Mesto, Bratislava",Chambre Double Exécutive,Types de lits : 1 lit double ou 2 lits simples,"8,7",778 expériences vécues,"1 nuit, 1 adulte",,€ 153€ 141-8 %
City Castle Apartments Free Parking,"Staré Mesto, Bratislava",Studio Climatisé,"2 lits (1 canapé-lit, 1 grand lit double)","9,4",1 801 expériences vécues,"1 nuit, 1 adulte",,€ 147€ 125-15 %
Apart Hotel VIRGO,"Staré Mesto, Bratislava",Studio,1 lit double,"9,1",2 030 expériences vécues,"1 nuit, 1 adulte",,€ 118€ 108-8 %
Apartments City Centre,"Staré Mesto, Bratislava","Studio Supérieur avec Balcon - 7, Rue Obchodna",2 lits simples,"8,5",643 expériences vécues,"1 nuit, 1 adulte",,€ 99
Safestay Bratislava Presidential Palace,"Staré Mesto, Bratislava",Lit dans Dortoir Mixte de 10 Lits,1 lit superposé,"7,8",3 225 expériences vécues,"1 nuit, 1 adulte",,€ 16
"2 room Apartment, 413","Ruzinov, Bratislava",Appartement 1 Chambre,"2 lits (1 lit double, 1 canapé-lit)","7,0",1 expérience vécue,"1 nuit, 1 adulte",,€ 77€ 73-6 %
Hotel Modena,"Ruzinov, Bratislava",Chambre Lits Jumeaux Standard,2 lits simples,"7,4",1 218 expériences vécues,"1 nuit, 1 adulte",,€ 69€ 64-8 %
LOFT Hotel Bratislava,"Staré Mesto, Bratislava",Chambre Lits Jumeaux Confort avec Réapprovisionnement Quotidien Gratuit du Minibar,2 lits simples,"9,3",5 493 expériences vécues,"1 nuit, 1 adulte",,€ 146€ 135-8 %
Best view apartment,"Staré Mesto, Bratislava",Appartement Supérieur,Hébergement géré par un particulier,"8,6",327 expériences vécues,"1 nuit, 1 adulte",,€ 94€ 86-8 %
Vila Ria,"Podunajske Biskupice, Bratislava",Chambre Lits Jumeaux avec Salle de Bains Commune,2 lits simples,"8,5",487 expériences vécues,"1 nuit, 1 adulte",,€ 32
Boutique Apartments Possonium,"Staré Mesto, Bratislava",Chambre Double,1 grand lit double,"8,2",1 022 expériences vécues,"1 nuit, 1 adulte",,€ 81€ 75-8 %
Hotel Avance,"Staré Mesto, Bratislava",Chambre Affaires,1 très grand lit double,"8,8",1 214 expériences vécues,"1 nuit, 1 adulte",,€ 162€ 149-8 %
RAJ zdravia,"Nove Mesto, Bratislava",Chambre Lits Jumeaux avec Salle de Bains Commune,2 lits simples,"8,7",356 expériences vécues,"1 nuit, 1 adulte",,€ 69
