Nom_Hotel,Adresse,Nom_Suite,Services,Note,Nbr_Experiences,Periode,Date,Prix
Lacasa Nizami Street,"Sabayil , Baku",Chambre Double ou Lits Jumeaux Standard,Hébergement géré par un particulier,"7,6",112 expériences vécues,"1 nuit, 1 adulte",,€ 79€ 38-52 %
Moss Art Boutique Hotel,"Sabayil , Baku",Chambre Double Économique,1 lit double,"8,9",564 expériences vécues,"1 nuit, 1 adulte",,€ 56€ 36-35 %
Nizami Street Hotel,"Nasimi, Baku",Chambre Simple,1 lit simple,"7,5",39 expériences vécues,"1 nuit, 1 adulte",,€ 34
Riviera Hotel,"Sabayil , Baku",Chambre Simple Économique,Plusieurs types de lits,"8,3",106 expériences vécues,"1 nuit, 1 adulte",,€ 33
City Inn Nizami Boutique Hotel,"Nasimi, Baku",Chambre Double avec Salle de Bains Privative Séparée,1 grand lit double,"8,2",439 expériences vécues,"1 nuit, 1 adulte",,€ 67€ 37-45 %
Sapphire City Hotel,"Sabayil , Baku",Chambre Double ou Lits Jumeaux Standard,1 lit simple,"8,2",391 expériences vécues,"1 nuit, 1 adulte",,€ 95
Global Hotel Baku,Baku,Lit dans Dortoir 6 Lits,1 lit simple,"6,2",51 expériences vécues,"1 nuit, 1 adulte",,€ 7€ 6-15 %
Sheraton Baku Intourist,"Sabayil , Baku","Guest room with 1 King, Garden view",1 très grand lit double,"8,8",456 expériences vécues,"1 nuit, 1 adulte",,€ 89
Courtyard by Marriott Baku,"Nasimi, Baku",Chambre Lit King-Size,1 très grand lit double,"8,6",2 485 expériences vécues,"1 nuit, 1 adulte",,€ 93
Dondar Hotel Formula 1 View,"Nasimi, Baku",Chambre Simple Économique,1 lit simple,"8,2",451 expériences vécues,"1 nuit, 1 adulte",,€ 58€ 52-10 %
Hillmond's Boutique,"Sabayil , Baku",Chambre Double Standard,1 grand lit double,"8,9",29 expériences vécues,"1 nuit, 1 adulte",,€ 73
ibis Baku City,Baku,Chambre Double Standard,1 lit double,"8,5",1 131 expériences vécues,"1 nuit, 1 adulte",,€ 47
Best Center Hotel,"Nasimi, Baku",Chambre Double Standard,1 grand lit double,"7,7",449 expériences vécues,"1 nuit, 1 adulte",,€ 74€ 41-45 %
La Casa Sahil,"Sabayil , Baku",Chambre Double ou Lits Jumeaux Standard,1 très grand lit double,"8,0",261 expériences vécues,"1 nuit, 1 adulte",,€ 55
Hilton Baku,"Sabayil , Baku",Chambre Lit King-Size,1 très grand lit double,"8,7",869 expériences vécues,"1 nuit, 1 adulte",,€ 154
Salam Baku Hotel (SBH),"Sabayil , Baku",Chambre Double ou Lits Jumeaux Standard,"3 lits (2 lits simples, 1 grand lit double)","8,0",230 expériences vécues,"1 nuit, 1 adulte",,€ 56
Clover Hotel Baku,"Nasimi, Baku",Chambre Simple Standard,1 lit simple,"8,5",119 expériences vécues,"1 nuit, 1 adulte",,€ 35
