Nom_Hotel,Adresse,Nom_Suite,Services,Note,Nbr_Experiences,Periode,Date,Prix
Old Riga Jekaba street Apartment,"Centre de Riga, Riga",Appartement,"3 lits (2 canapés-lits, 1 grand lit double)","8,5",64 expériences vécues,"1 nuit, 1 adulte",,€ 119
Beautiful Studio in Downtown Riga - Great Location,"Centre de Riga, Riga",Appartement 1 Chambre,1 lit double,"9,1",14 expériences vécues,"1 nuit, 1 adulte",,€ 96
1-bedroom loft in Siena Tirgus,"Latgales priekšpilsēta, Riga",Appartement 1 Chambre,Hébergement géré par un particulier,"9,8",64 expériences vécues,"1 nuit, 1 adulte",,€ 51
Bruninieku Street Apartment,"Latgales priekšpilsēta, Riga",Appartement 2 Chambres,Hébergement géré par un particulier,"7,9",32 expériences vécues,"1 nuit, 1 adulte",,€ 60
ApartmentTallinas70B,"Latgales priekšpilsēta, Riga",Appartement 1 Chambre,Hébergement géré par un particulier,"8,6",20 expériences vécues,"1 nuit, 1 adulte",,€ 50
Cozy 2-bedrooms apartment in a new complex near the center and the sea,"Kurzemes priekšpilsēta, Riga",Appartement 2 Chambres,Hébergement géré par un particulier,"9,4",26 expériences vécues,"1 nuit, 1 adulte",,€ 82
Studio Apartment in the Heart of Riga Old Town,"Centre de Riga, Riga",Appartement 1 Chambre,Hébergement géré par un particulier,"8,6",19 expériences vécues,"1 nuit, 1 adulte",,€ 82
Delux 1 bedroom studio in City Centre,"Centre de Riga, Riga",Studio,Hébergement géré par un particulier,"8,3",37 expériences vécues,"1 nuit, 1 adulte",,"€ 87€ 61
-30 %"
RIGAAPARTMENT Sonada Aparthotel,"Latgales priekšpilsēta, Riga",Chambre Double Standard avec Climatisation,1 grand lit double,"8,1",518 expériences vécues,"1 nuit, 1 adulte",,"€ 95€ 83
-12 %"
Alex Junior Apartment,"Vidzemes priekšpilsēta, Riga",Appartement,Hébergement géré par un particulier,"9,1",41 expériences vécues,"1 nuit, 1 adulte",,€ 51
