Nom_Hotel,Adresse,Nom_Suite,Services,Note,Nbr_Experiences,Periode,Date,Prix
"Yellow apartment, central Podgorica",Podgorica,Appartement 3 Chambres,Hébergement géré par un particulier,"9,3",80 expériences vécues,"1 nuit, 1 adulte",,€ 71
In the heart of the old town,Podgorica,Appartement Deluxe,Hébergement géré par un particulier,"9,0",129 expériences vécues,"1 nuit, 1 adulte",,€ 171€ 146-15 %
Apartmani Karučki krš,Podgorica,Appartement,Hébergement géré par un particulier,"8,3",18 expériences vécues,"1 nuit, 1 adulte",,€ 56
Apartment Luxury Explorer,Podgorica,Appartement Deluxe,Hébergement géré par un particulier,"8,9",122 expériences vécues,"1 nuit, 1 adulte",,€ 112€ 105-6 %
Perla Residence Hotel & SPA,Podgorica,Chambre Double Deluxe,1 grand lit double,"9,2",1 009 expériences vécues,"1 nuit, 1 adulte",,€ 108€ 91-16 %
Centre Point Apartment,Podgorica,Appartement 2 Chambres,Hébergement géré par un particulier,"9,4",94 expériences vécues,"1 nuit, 1 adulte",,€ 68
Philia Hotel,Podgorica,Chambre Double Supérieure,1 très grand lit double,"8,7",227 expériences vécues,"1 nuit, 1 adulte",,€ 86€ 81-6 %
Podgorica Old Town,Podgorica,Lit dans Dortoir de 8 Lits ,Hébergement géré par un particulier,"5,5",25 expériences vécues,"1 nuit, 1 adulte",,€ 15
Bristol Hotel Podgorica,Podgorica,Chambre Double Standard,1 grand lit double,"9,0",109 expériences vécues,"1 nuit, 1 adulte",,€ 111€ 84-25 %
Max Apartments,Podgorica,Appartement 2 Chambres,"3 lits (1 lit simple, 1 très grand lit double, 1 canapé-lit)","8,4",151 expériences vécues,"1 nuit, 1 adulte",,€ 30
Central,Podgorica,Appartement 1 Chambre,Hébergement géré par un particulier,10,1 expérience vécue,"1 nuit, 1 adulte",,€ 37
Ori,Podgorica,Appartement,Hébergement géré par un particulier,"8,9",445 expériences vécues,"1 nuit, 1 adulte",,€ 32
Home Away Apartment,Podgorica,Appartement 1 Chambre,Hébergement géré par un particulier,"8,7",7 expériences vécues,"1 nuit, 1 adulte",,€ 28
Apart Compliment,Podgorica,Appartement 1 Chambre,Hébergement géré par un particulier,"9,6",534 expériences vécues,"1 nuit, 1 adulte",,€ 61€ 57-6 %
Simo apartments airport Podgorica,Podgorica,Studio,1 très grand lit double,"9,6",1 410 expériences vécues,"1 nuit, 1 adulte",,€ 36
Apartments Jankovic,Podgorica,Chambre Simple avec Terrasse,1 lit simple,"8,3",280 expériences vécues,"1 nuit, 1 adulte",,€ 26
IPN APARTMENTs -MOTEL,Podgorica,Suite Lit King-Size avec Balcon,Hébergement géré par un particulier,"9,3",379 expériences vécues,"1 nuit, 1 adulte",,€ 36€ 29-19 %
Studio apartment Vukcevic 2,Podgorica,Appartement 1 Chambre,Hébergement géré par un particulier,"8,9",245 expériences vécues,"1 nuit, 1 adulte",,€ 28
Apartment Center 23,Podgorica,Appartement 1 Chambre,Hébergement géré par un particulier,"9,1",30 expériences vécues,"1 nuit, 1 adulte",,€ 37
Apartments Aerodrom,Podgorica,Appartement avec Douche,1 grand lit double,"9,6",677 expériences vécues,"1 nuit, 1 adulte",,€ 35€ 33-6 %
Apartmani Emil,Podgorica,Appartement 1 Chambre,Hébergement géré par un particulier,"6,8",185 expériences vécues,"1 nuit, 1 adulte",,€ 24
Hotel Oasis,Podgorica,Chambre Simple Classique,1 lit simple,"8,7",49 expériences vécues,"1 nuit, 1 adulte",,€ 45€ 42-6 %
Bella Apartman,Podgorica,Studio,1 canapé-lit,"9,3",33 expériences vécues,"1 nuit, 1 adulte",,€ 28
Apartment Filipovic,Podgorica,Appartement 1 Chambre,Hébergement géré par un particulier,"9,8",96 expériences vécues,"1 nuit, 1 adulte",,€ 23
Apartment Stex 4,Podgorica,Appartement 1 Chambre,Hébergement géré par un particulier,,"1 nuit, 1 adulte",Taxes et frais compris,,€ 37€ 30-20 %
House with a garden in Podgorica Center,Podgorica,Chambre Double avec Salle de Bains Commune,Hébergement géré par un particulier,"8,7",10 expériences vécues,"1 nuit, 1 adulte",,€ 24
"Modern, Work-friendly Apartment, City Kvart",Podgorica,Appartement 1 Chambre,Hébergement géré par un particulier,"9,3",103 expériences vécues,"1 nuit, 1 adulte",,€ 39
Apartment Clock Tower,Podgorica,Appartement 1 Chambre,Hébergement géré par un particulier,,"1 nuit, 1 adulte",Taxes et frais compris,,€ 31
Studio K,Podgorica,Appartement 1 Chambre,Hébergement géré par un particulier,"9,6",50 expériences vécues,"1 nuit, 1 adulte",,€ 40
Apartment Diamond,Podgorica,Appartement 2 Chambres,Hébergement géré par un particulier,"9,7",105 expériences vécues,"1 nuit, 1 adulte",,€ 38
Apartmani u strogom centru grada,Podgorica,Appartement 1 Chambre,Hébergement géré par un particulier,,"1 nuit, 1 adulte",Taxes et frais compris,,€ 41
Renta stan apartman odmor,Podgorica,Appartement 1 Chambre,Hébergement géré par un particulier,"9,4",255 expériences vécues,"1 nuit, 1 adulte",,€ 36
ANASTASIJA free wi-fi,Podgorica,Appartement 1 Chambre,Hébergement géré par un particulier,"6,5",30 expériences vécues,"1 nuit, 1 adulte",,€ 22
