Nom_Hotel,Adresse,Nom_Suite,Services,Note,Nbr_Experiences,Periode,Date,Prix
Tbilisi Mare,Tbilissi,Chambre Lit King-Size,1 grand lit double,"9,8",16 expériences vécues,"1 nuit, 1 adulte",,€ 39
Tourfa,"Old Tbilisi, Tbilissi",Chambre Double Deluxe avec Lit d'Appoint,"2 lits (1 très grand lit double, 1 canapé-lit)","9,1",343 expériences vécues,"1 nuit, 1 adulte",,€ 62
Old City Apartment,"Old Tbilisi, Tbilissi",Appartement avec Balcon,Hébergement géré par un particulier,"9,2",62 expériences vécues,"1 nuit, 1 adulte",,€ 46
Rogalux Blue,Tbilissi,Chambre Simple Standard,Plusieurs types de lits,"7,6",507 expériences vécues,"1 nuit, 1 adulte",,€ 50€ 40-20 %
Marani Boutique Hotel,"Old Tbilisi, Tbilissi",Chambre Double Standard,1 grand lit double,"9,4",158 expériences vécues,"1 nuit, 1 adulte",,€ 31
Red Door,"Chugureti, Tbilissi",Lit dans Dortoir Mixte de 8 Lits ,Hébergement géré par un particulier,"9,4",17 expériences vécues,"1 nuit, 1 adulte",,€ 14
Iren river side apartments,"Chugureti, Tbilissi",Appartement 1 Chambre,Hébergement géré par un particulier,"9,2",91 expériences vécues,"1 nuit, 1 adulte",,€ 61
Guest house Lusia,"Old Tbilisi, Tbilissi",Suite 1 Chambre,Hébergement géré par un particulier,"9,5",132 expériences vécues,"1 nuit, 1 adulte",,€ 31
House in Old Tbilisi,"Old Tbilisi, Tbilissi",Appartement 3 Chambres,Hébergement géré par un particulier,"8,8",10 expériences vécues,"1 nuit, 1 adulte",,€ 50
Rezis sweet home,"Old Tbilisi, Tbilissi",Appartement 1 Chambre,Hébergement géré par un particulier,"9,4",114 expériences vécues,"1 nuit, 1 adulte",,€ 34
Apartment Sweet Home at Freedom Square 2,"Old Tbilisi, Tbilissi",Appartement Supérieur,Hébergement géré par un particulier,"7,4",17 expériences vécues,"1 nuit, 1 adulte",,€ 110
Vera City Center Apartment,"Vera, Tbilissi",Appartement 1 Chambre,Hébergement géré par un particulier,"9,4",43 expériences vécues,"1 nuit, 1 adulte",,€ 45
Apartment on Freedom Square Diuma Street,"Old Tbilisi, Tbilissi",Appartement 1 Chambre,Hébergement géré par un particulier,"9,0",74 expériences vécues,"1 nuit, 1 adulte",,€ 38
GNG Apartment,"Old Tbilisi, Tbilissi",Appartement,Hébergement géré par un particulier,"8,9",36 expériences vécues,"1 nuit, 1 adulte",,€ 31
Hotel Agava,Tbilissi,Chambre Double Standard,Hébergement géré par un particulier,"9,0",86 expériences vécues,"1 nuit, 1 adulte",,€ 41
Metekhi Corner Apartments,"Old Tbilisi, Tbilissi",Appartement Standard,Hébergement géré par un particulier,"9,2",102 expériences vécues,"1 nuit, 1 adulte",,€ 40
Hotel Old Cellar,"Old Tbilisi, Tbilissi",Suite Lit King-Size,1 grand lit double,"8,6",30 expériences vécues,"1 nuit, 1 adulte",,€ 77
Sol's M2 White Modern Apartments,"Saburtalo, Tbilissi",Appartement Standard,Hébergement géré par un particulier,"9,1",78 expériences vécues,"1 nuit, 1 adulte",,€ 45
Joniskera,"Old Tbilisi, Tbilissi",Chambre Double Deluxe avec Lit d'Appoint,Hébergement géré par un particulier,"9,7",93 expériences vécues,"1 nuit, 1 adulte",,€ 45
Hotel MMG,"Old Tbilisi, Tbilissi",Grande Chambre Double ,Hébergement géré par un particulier,"7,9",102 expériences vécues,"1 nuit, 1 adulte",,€ 45
Ameri Plaza Tbilisi,"Saburtalo, Tbilissi",Chambre Double Économique,1 grand lit double,"8,6",496 expériences vécues,"1 nuit, 1 adulte",,€ 79€ 71-10 %
Hotel Avlabari Terrace,"Old Tbilisi, Tbilissi",Chambre Double ou Lits Jumeaux avec Lit d'Appoint,Plusieurs types de lits,"9,3",456 expériences vécues,"1 nuit, 1 adulte",,€ 53
Babilina B&B,"Old Tbilisi, Tbilissi",Chambre Simple,Hébergement géré par un particulier,"8,7",189 expériences vécues,"1 nuit, 1 adulte",,€ 28
Polonia Tbilisi House,"Mtatsminda , Tbilissi",Chambre Familiale - Vue sur Montagne,Hébergement géré par un particulier,"8,4",112 expériences vécues,"1 nuit, 1 adulte",,€ 24
