Nom_Hotel,Adresse,Nom_Suite,Services,Note,Nbr_Experiences,Periode,Date,Prix
Art Hotel Athens,"Athens City Centre, Athènes",Chambre Double,Types de lits : 1 lit double ou 2 lits simples,"7,3",666 expériences vécues,"1 nuit, 1 adulte",,€ 69
Carolina Hotel since 1934,"Syntagma, Athènes",Chambre Double ou Lits Jumeaux Standard,Types de lits : 1 lit double ou 2 lits simples,"8,0",1 246 expériences vécues,"1 nuit, 1 adulte",,€ 96
Selina Athens Theatrou,"Psyrí, Athènes",Lit dans Dortoir de 8 Lits ,1 lit superposé,"8,2",2 184 expériences vécues,"1 nuit, 1 adulte",,"€ 28€ 24
-15 %"
Rooms in the apartment (Leontiou),"Néos Kósmos, Athènes",Chambre Double,1 lit double,"8,1",398 expériences vécues,"1 nuit, 1 adulte",,€ 19
Airotel Alexandros,"Athens City Centre, Athènes",Chambre Double Exécutive,2 lits simples,"8,2",1 719 expériences vécues,"1 nuit, 1 adulte",,"€ 138€ 111
-20 %"
The Convo Athens Riviera,"Kallithéa, Athènes",Chambre Double Standard,1 lit double,"8,0",2 457 expériences vécues,"1 nuit, 1 adulte",,"€ 82€ 65
-20 %"
Titania Hotel,"Athens City Centre, Athènes",Chambre Lits Jumeaux Standard,2 lits simples,"7,9",5 205 expériences vécues,"1 nuit, 1 adulte",,"€ 125€ 106
-15 %"
Athos Hotel,"Pláka, Athènes",Chambre Lits Jumeaux Standard,Plusieurs types de lits,"7,9",1 311 expériences vécues,"1 nuit, 1 adulte",,€ 112
Old Town Hall Suites and Apartments,"Athens City Centre, Athènes",Studio,"2 lits (1 canapé-lit, 1 grand lit double)","8,1",908 expériences vécues,"1 nuit, 1 adulte",,"€ 66€ 53
-19 %"
ATHENS STORIES,"Psyrí, Athènes",Appartement avec Balcon,1 grand lit double,"8,8",624 expériences vécues,"1 nuit, 1 adulte",,"€ 145€ 93
-36 %"
Chic Hotel,"Athens City Centre, Athènes",Chambre Simple,1 lit simple,"8,1",423 expériences vécues,"1 nuit, 1 adulte",,"€ 74€ 63
-15 %"
Belle Epoque Suites,"Syntagma, Athènes",Suite Deluxe,"2 lits (1 canapé-lit, 1 grand lit double)","9,1",1 067 expériences vécues,"1 nuit, 1 adulte",,"€ 169€ 132
-22 %"
Central Hotel,"Pláka, Athènes",Chambre Double ou Lits Jumeaux Économique,Types de lits : 1 lit double ou 2 lits simples,"8,5",2 529 expériences vécues,"1 nuit, 1 adulte",,€ 122
Athesense Suites,"Néos Kósmos, Athènes",Chambre Double Deluxe avec Balcon,"2 lits (1 canapé-lit, 1 grand lit double)","9,2",188 expériences vécues,"1 nuit, 1 adulte",,€ 115
NYX Esperia Palace Hotel Athens by Leonardo Hotels,"Syntagma, Athènes",Hébergement Simple Design Star,1 lit simple,"8,4",432 expériences vécues,"1 nuit, 1 adulte",,"€ 204€ 194
-5 %"
Dunlin Hotel,"Athens City Centre, Athènes",Petite Chambre Double,1 lit double,"8,1",1 174 expériences vécues,"1 nuit, 1 adulte",,"€ 67€ 54
-20 %"
Epidavros Hotel,"Athens City Centre, Athènes",Chambre Double ou Lits Jumeaux,Types de lits : 1 lit double ou 2 lits simples,"7,3",1 935 expériences vécues,"1 nuit, 1 adulte",,€ 47
Phaedra Hotel,"Pláka, Athènes",Chambre Simple,1 lit simple,"8,2",1 869 expériences vécues,"1 nuit, 1 adulte",,€ 48
ibis Styles Athens Routes,"Néos Kósmos, Athènes",Chambre Simple Standard,1 lit simple,"8,7",2 465 expériences vécues,"1 nuit, 1 adulte",,€ 71
Park Hotel,"Ayia Paraskevi, Athènes",Chambre Simple,1 lit simple,"7,8",807 expériences vécues,"1 nuit, 1 adulte",,€ 66
Mansion Hotel,"Athens City Centre, Athènes",Chambre Double,1 grand lit double,"7,0",1 881 expériences vécues,"1 nuit, 1 adulte",,€ 36
When in Athens Hostel,"Exárcheia, Athènes",Lit dans Dortoir Mixte de 8 Lits ,1 lit superposé,"9,2",470 expériences vécues,"1 nuit, 1 adulte",,"€ 22€ 20
-10 %"
Diros Hotel,"Athens City Centre, Athènes",Chambre Familiale Économique,"3 lits (2 lits simples, 1 lit double)","7,5",3 009 expériences vécues,"1 nuit, 1 adulte",,€ 76
Melia Athens,"Athens City Centre, Athènes",Chambre Meliá,Types de lits : 1 lit double ou 2 lits simples,"8,1",2 252 expériences vécues,"1 nuit, 1 adulte",,"€ 157€ 134
-15 %"
Rooster Suites,"Syntagma, Athènes",Appartement 1 Chambre,Hébergement géré par un particulier,"8,8",693 expériences vécues,"1 nuit, 1 adulte",,€ 81
Acropolis View Hotel,"Koukaki, Athènes",Chambre Simple,1 lit simple,"9,0",2 953 expériences vécues,"1 nuit, 1 adulte",,€ 101
Alva Athens Hotel,"Athens City Centre, Athènes",Chambre Double Économique,1 lit double,"8,5",701 expériences vécues,"1 nuit, 1 adulte",,€ 61
