Nom_Hotel,Adresse,Nom_Suite,Services,Note,Nbr_Experiences,Periode,Date,Prix
Hotel Westbahn,"15. Rudolfsheim-Fünfhaus, Vienne",Chambre Simple,1 lit simple,"8,0",4 668 expériences vécues,"1 nuit, 1 adulte",,€ 119
Hotel Hadrigan,"16e Ottakring, Vienne",Chambre Simple,1 lit simple,"6,9",4 123 expériences vécues,"1 nuit, 1 adulte",,€ 50
Hilton Vienna Park,"03. Landstraße, Vienne",Chambre Lit King-Size,1 très grand lit double,"8,1",8 229 expériences vécues,"1 nuit, 1 adulte",,€ 322
Kindl 's Low Budget,"22. Donaustadt, Vienne",Chambre Lits Jumeaux Standard,2 lits simples,"7,3",76 expériences vécues,"1 nuit, 1 adulte",,€ 62
NH Wien Belvedere,"03. Landstraße, Vienne",Chambre Double ou Lits Jumeaux Standard,Types de lits : 1 lit double ou 2 lits simples,"8,3",2 581 expériences vécues,"1 nuit, 1 adulte",,€ 211
ECA Rooftop Live - Private Rooms & Serviced Apartments,"22. Donaustadt, Vienne",Petite Chambre Lits Jumeaux,1 très grand lit double,"7,4",350 expériences vécues,"1 nuit, 1 adulte",,€ 69€ 62-10 %
Do Step Inn Central - Self-Service-Hostel,"04. Wieden, Vienne",Lit dans Dortoir Mixte de 5 Lits,1 lit superposé,"7,6",4 282 expériences vécues,"1 nuit, 1 adulte",,€ 28
NH Danube City,"22. Donaustadt, Vienne",Chambre Double Standard,1 grand lit double,"8,3",3 017 expériences vécues,"1 nuit, 1 adulte",,€ 135
Courtyard by Marriott Vienna Prater/Messe,"02. Leopoldstadt, Vienne",Chambre Lit King-Size Standard,1 très grand lit double,"8,4",3 360 expériences vécues,"1 nuit, 1 adulte",,€ 169
Hotel König,"11. Simmering, Vienne",Chambre Lits Jumeaux avec Lit Superposé,2 lits simples,"8,1",1 195 expériences vécues,"1 nuit, 1 adulte",,€ 107
Hotel Wiener Kindl,"22. Donaustadt, Vienne",Chambre Simple,1 lit simple,"7,6",709 expériences vécues,"1 nuit, 1 adulte",,€ 79
Lenas Donau Hotel,"22. Donaustadt, Vienne",Chambre Simple,1 lit simple,"7,6",7 454 expériences vécues,"1 nuit, 1 adulte",,€ 106
Flemings Hotel Wien-Stadthalle former Flemings Conference Wien,"07. Neubau, Vienne",Chambre Lits Jumeaux Confort,2 lits simples,"8,5",4 979 expériences vécues,"1 nuit, 1 adulte",,€ 210€ 168-20 %
Hotel Carina,"17e Hernals, Vienne",Chambre Simple,1 lit simple,"5,7",802 expériences vécues,"1 nuit, 1 adulte",,€ 53
Novum Hotel Congress Wien am Hauptbahnhof,"04. Wieden, Vienne",Chambre Simple,1 lit simple,"6,2",3 223 expériences vécues,"1 nuit, 1 adulte",,€ 132
Primus Hotel & Apartments,"10. Favoriten, Vienne",Chambre Double,1 grand lit double,"8,5",1 091 expériences vécues,"1 nuit, 1 adulte",,€ 108
Hotel Geblergasse,"17e Hernals, Vienne",Chambre Simple,1 lit simple,"7,7",7 017 expériences vécues,"1 nuit, 1 adulte",,€ 84
Sehr schöne zimmer 1 in Wien Favoriten,"10. Favoriten, Vienne",Chambre Deluxe Double ou Lits Jumeaux,Hébergement géré par un particulier,"3,5",10 expériences vécues,"1 nuit, 1 adulte",,€ 35
Leonardo Hotel Vienna Otto-Wagner,"15. Rudolfsheim-Fünfhaus, Vienne",Chambre Double Confort,1 grand lit double,"8,5",6 277 expériences vécues,"1 nuit, 1 adulte",,€ 170
pentahotel Vienna,"05. Margareten, Vienne",Chambre Simple Penta,1 lit simple,"8,1",1 852 expériences vécues,"1 nuit, 1 adulte",,€ 180
Mercure Hotel Raphael Wien,"06. Mariahilf, Vienne",Chambre Double Standard,1 lit double,"8,1",3 426 expériences vécues,"1 nuit, 1 adulte",,€ 161
25hours Hotel beim MuseumsQuartier,"07. Neubau, Vienne",Chambre Moyenne,1 très grand lit double,"8,6",3 367 expériences vécues,"1 nuit, 1 adulte",,€ 305
HB1 Schönbrunn Budget & Design,"14. Penzing, Vienne",Chambre Double ou Lits Jumeaux,Types de lits : 1 lit double ou 2 lits simples,"7,6",1 154 expériences vécues,"1 nuit, 1 adulte",,€ 115
Do Step Inn Home - Hotel & Hostel,"15. Rudolfsheim-Fünfhaus, Vienne",Lit dans Dortoir Mixte de 8 Lits ,1 lit superposé,"7,6",3 095 expériences vécues,"1 nuit, 1 adulte",,€ 21
Exe Vienna,"17e Hernals, Vienne",Hébergement Double Standard - Occupation Simple,1 lit double,"7,9",3 758 expériences vécues,"1 nuit, 1 adulte",,€ 158
Pension San Francisco,"10. Favoriten, Vienne",Chambre Simple,1 lit simple,"7,2",368 expériences vécues,"1 nuit, 1 adulte",,€ 68
Austria Trend Hotel Bosei Wien,"10. Favoriten, Vienne",Chambre Double Supérieure,1 très grand lit double,"9,0",4 270 expériences vécues,"1 nuit, 1 adulte",,€ 129
Novotel Wien City,"02. Leopoldstadt, Vienne",Chambre Double Standard,1 lit double,"8,3",4 136 expériences vécues,"1 nuit, 1 adulte",,€ 211
prizeotel Vienna-City,"10. Favoriten, Vienne",Chambre Double Deluxe,1 grand lit double,"8,6",14 543 expériences vécues,"1 nuit, 1 adulte",,€ 160
Eurostars Embassy,"03. Landstraße, Vienne",Chambre Double,1 lit simple,"8,6",2 173 expériences vécues,"1 nuit, 1 adulte",,€ 122
Austria Classic Hotel Wien,"02. Leopoldstadt, Vienne",Chambre Simple STANDARD - Vue sur Rue,1 lit simple,"9,0",1 402 expériences vécues,"1 nuit, 1 adulte",,€ 211
Self-Check-In Hotel Adlon,"02. Leopoldstadt, Vienne",Chambre Simple Standard,1 lit simple,"6,2",517 expériences vécues,"1 nuit, 1 adulte",,€ 97
Hotel Pribitzer,"03. Landstraße, Vienne",Chambre Simple avec Douche ,1 lit simple,"6,5",1 216 expériences vécues,"1 nuit, 1 adulte",,€ 69
Leonardo Hotel Vienna Hauptbahnhof,"10. Favoriten, Vienne",Hébergement Simple Confort,1 lit double,"8,4",6 377 expériences vécues,"1 nuit, 1 adulte",,€ 143
Pension Reimer,"07. Neubau, Vienne",Chambre Simple Deluxe,1 lit simple,"5,3",513 expériences vécues,"1 nuit, 1 adulte",,€ 85
Hotel Goldene Spinne,"03. Landstraße, Vienne",Chambre Simple,1 lit simple,"7,7",868 expériences vécues,"1 nuit, 1 adulte",,€ 168
Aparthotel LAAERBERG,"10. Favoriten, Vienne",Chambre Simple,1 lit simple,"6,9",601 expériences vécues,"1 nuit, 1 adulte",,€ 63€ 57-10 %
city center Private room with bathroom,"03. Landstraße, Vienne",Chambre Simple avec Salle de Bains Privative,Hébergement géré par un particulier,,"1 nuit, 1 adulte",Taxes et frais compris,,€ 51
Stadtaffe - Chic Hostel VIE,"16e Ottakring, Vienne",Lit Superposé dans Dortoir Mixte,1 lit superposé,"8,5",1 637 expériences vécues,"1 nuit, 1 adulte",,€ 29€ 23-20 %
Smart Nano Living - Wien Hauptbahnhof,"10. Favoriten, Vienne",Smart Nano Double Room,1 lit double,"7,0",84 expériences vécues,"1 nuit, 1 adulte",,€ 161€ 129-20 %
Somerset Schönbrunn Vienna,"12. Meidling, Vienne",Appartement 1 Chambre,"2 lits (1 canapé-lit, 1 grand lit double)","9,8",13 expériences vécues,"1 nuit, 1 adulte",,€ 161€ 137-15 %
Space Home Apartment - Central Station # Hauptbahnhof,"05. Margareten, Vienne",Chambre Simple,1 lit simple,"8,1",1 258 expériences vécues,"1 nuit, 1 adulte",,€ 45
ibis Wien City,"05. Margareten, Vienne",Chambre Double Standard,1 grand lit double,"8,1",1 643 expériences vécues,"1 nuit, 1 adulte",,€ 142
Space Home Apartment - Prater,"02. Leopoldstadt, Vienne",Chambre Simple,1 lit simple,"8,4",462 expériences vécues,"1 nuit, 1 adulte",,€ 45
Hotel California,"14. Penzing, Vienne",Chambre Simple,1 lit simple,"7,0",548 expériences vécues,"1 nuit, 1 adulte",,€ 71
Renaissance Wien Hotel,"15. Rudolfsheim-Fünfhaus, Vienne",Chambre Lits Jumeaux Standard,2 lits simples,"8,4",2 248 expériences vécues,"1 nuit, 1 adulte",,€ 157
Smart Mini Hotel,"05. Margareten, Vienne",Chambre Double avec Toilettes Communes,Hébergement géré par un particulier,"7,4",305 expériences vécues,"1 nuit, 1 adulte",,€ 66
Boutique Hotel Piano Nobile - am Stubenring,"01. Innere Stadt, Vienne",Chambre Simple,1 lit simple,"8,3",615 expériences vécues,"1 nuit, 1 adulte",,€ 220
Pension Dr. Geissler,"01. Innere Stadt, Vienne",Chambre Simple avec Salle de Bains Commune,1 lit simple,"8,1",2 970 expériences vécues,"1 nuit, 1 adulte",,€ 232
Wilmas Apartments by Arbio,"12. Meidling, Vienne",Chambre Simple Standard,1 lit simple,"8,6",3 424 expériences vécues,"1 nuit, 1 adulte",,€ 118
a&t Holiday Hostel,"10. Favoriten, Vienne",Lit dans Dortoir Mixte de 8 Lits ,1 lit superposé,"7,3",3 799 expériences vécues,"1 nuit, 1 adulte",,€ 18
Hotel Pension Stadtpark,"03. Landstraße, Vienne",Chambre Triple,"2 lits (1 très grand lit double, 1 canapé-lit)","7,0",1 511 expériences vécues,"1 nuit, 1 adulte",,€ 166€ 149-10 %
Stadtpark Rooms Vienna,"03. Landstraße, Vienne",Chambre Simple avec Salle de Bains Commune,Hébergement géré par un particulier,"6,8",562 expériences vécues,"1 nuit, 1 adulte",,€ 45
Smart Apart Living - Wien Hauptbahnhof,"10. Favoriten, Vienne",Appartement Standard,2 lits simples,"7,8",476 expériences vécues,"1 nuit, 1 adulte",,€ 204€ 163-20 %
Relax Appartement 10 minutes to downtown,"10. Favoriten, Vienne",Lit Superposé dans Dortoir Mixte,Hébergement géré par un particulier,"7,6",32 expériences vécues,"1 nuit, 1 adulte",,€ 32
Andaz Vienna Am Belvedere - a concept by Hyatt,Vienne,Chambre Lit King-Size,1 très grand lit double,"9,0",2 034 expériences vécues,"1 nuit, 1 adulte",,€ 249
Austria Trend Hotel Savoyen Vienna - 4 stars superior,"03. Landstraße, Vienne",Chambre Lits Jumeaux Deluxe,2 lits simples,"9,0",3 068 expériences vécues,"1 nuit, 1 adulte",,€ 179
Hotel Bergwirt Schönbrunn,"13e Hietzing, Vienne",Chambre Simple,1 lit simple,"7,6",1 335 expériences vécues,"1 nuit, 1 adulte",,€ 113
Best Living Appartement GmbH,"15. Rudolfsheim-Fünfhaus, Vienne",Appartement 1 Chambre,Hébergement géré par un particulier,"7,4",11 expériences vécues,"1 nuit, 1 adulte",,€ 100
Modern Central City Rooms,"15. Rudolfsheim-Fünfhaus, Vienne",Chambre Triple avec Salle de Bains Commune,1 lit superposé,"7,2",202 expériences vécues,"1 nuit, 1 adulte",,€ 89
Vienna Hostel Ruthensteiner,"15. Rudolfsheim-Fünfhaus, Vienne",Lit dans Dortoir Mixte de 10 Lits,1 lit superposé,"9,0",2 563 expériences vécues,"1 nuit, 1 adulte",,€ 35
Boutique Hotel Donauwalzer,"17e Hernals, Vienne",Chambre Simple Classique,1 lit simple,"8,4",1 392 expériences vécues,"1 nuit, 1 adulte",,€ 201
Rioca Vienna Posto 1,"20. Brigittenau, Vienne",Studio,1 grand lit double,"9,0",2 559 expériences vécues,"1 nuit, 1 adulte",,€ 179€ 152-15 %
Wombat's City Hostel Vienna Naschmarkt,"04. Wieden, Vienne",Lit Simple dans Dortoir Mixte de 8 lits,1 lit superposé,"8,6",5 797 expériences vécues,"1 nuit, 1 adulte",,€ 51€ 41-20 %
Wiener Gäste Zimmer,"10. Favoriten, Vienne",Chambre Double avec Paille,1 très grand lit double,"9,4",266 expériences vécues,"1 nuit, 1 adulte",,€ 205
Hotel Asperner Löwe,"22. Donaustadt, Vienne",Chambre Simple Confort,1 lit simple,"7,9",1 024 expériences vécues,"1 nuit, 1 adulte",,€ 84
"voco Vienna Prater, an IHG Hotel","02. Leopoldstadt, Vienne",Chambre Standard,Plusieurs types de lits,"9,0",4 expériences vécues,"1 nuit, 1 adulte",,€ 127
HPA Hotel Andreas,"08. Josefstadt, Vienne",Chambre Simple,1 lit simple,"7,9",2 340 expériences vécues,"1 nuit, 1 adulte",,€ 170
"Holiday Inn Vienna City, an IHG Hotel","05. Margareten, Vienne",Standard Queen Room - Backside,1 grand lit double,"8,6",2 160 expériences vécues,"1 nuit, 1 adulte",,€ 193
Leonardo Hotel Vienna,"06. Mariahilf, Vienne",Chambre Double ou Lits Jumeaux Confort ,Types de lits : 1 lit double ou 2 lits simples,"8,1",10 767 expériences vécues,"1 nuit, 1 adulte",,€ 161
Hampton By Hilton Vienna Messe,"02. Leopoldstadt, Vienne",Chambre Lit Queen-Size - Vue sur Ville,1 grand lit double,"8,7",4 581 expériences vécues,"1 nuit, 1 adulte",,€ 211
Hotel Vienna beim Prater,"02. Leopoldstadt, Vienne",Chambre Simple Deluxe,1 lit simple,"8,4",1 939 expériences vécues,"1 nuit, 1 adulte",,€ 221
Hotel Odeon,"02. Leopoldstadt, Vienne",Chambre Double avec Salle de Bains et Toilettes Communes,1 lit double,"7,6",1 864 expériences vécues,"1 nuit, 1 adulte",,€ 90
Grand Hotel Wien,"01. Innere Stadt, Vienne",Chambre Premium ,Plusieurs types de lits,"8,8",2 409 expériences vécues,"1 nuit, 1 adulte",,€ 467
Ibis Styles Wien City,"19e Döbling, Vienne",Hébergement Double Standard,1 grand lit double,"8,7",3 723 expériences vécues,"1 nuit, 1 adulte",,€ 161
magdas HOTEL Vienna City - First Social Business HOTEL in Austria,"03. Landstraße, Vienne",Chambre Double avec Balcon,1 grand lit double,"9,0",948 expériences vécues,"1 nuit, 1 adulte",,€ 214
Austria Trend Hotel Maximilian,"13e Hietzing, Vienne",Chambre Double Deluxe,1 grand lit double,"9,0",1 579 expériences vécues,"1 nuit, 1 adulte",,€ 170
