Nom_Hotel,Adresse,Nom_Suite,Services,Note,Nbr_Experiences,Periode,Date,Prix
Admiral Hotel,"Jarun, Zagreb",Chambre Double ou Lits Jumeaux Exécutive,2 lits simples,"9,1",2 978 expériences vécues,"1 nuit, 1 adulte",,"€ 184€ 160
-13 %"
Villa Madison,"Maksimir, Zagreb",Studio Lit King-Size Deluxe,1 grand lit double,"8,9",367 expériences vécues,"1 nuit, 1 adulte",,€ 77
Tia Apartments and Rooms,"Lower Town, Zagreb",Chambre Lits Jumeaux Standard,Plusieurs types de lits,"7,9",697 expériences vécues,"1 nuit, 1 adulte",,€ 121
Random Room,Zagreb,Chambre Double,Hébergement géré par un particulier,"9,0",241 expériences vécues,"1 nuit, 1 adulte",,€ 35
Apartments Lucky Place,"Lower Town, Zagreb",Studio avec Lit Double,1 grand lit double,"9,0",713 expériences vécues,"1 nuit, 1 adulte",,€ 60
Hotellux B&B,"Maksimir, Zagreb",Chambre Double Deluxe,Hébergement géré par un particulier,"7,6",1 591 expériences vécues,"1 nuit, 1 adulte",,€ 55
MM House,Zagreb,Chambre Double,1 très grand lit double,"8,5",641 expériences vécues,"1 nuit, 1 adulte",,€ 99
Elenas Rooms & Apartment,"Lower Town, Zagreb",Chambre Double Deluxe,Hébergement géré par un particulier,"9,3",1 086 expériences vécues,"1 nuit, 1 adulte",,€ 82
Pod Zidom Rooms,"Upper Town – Medvescak, Zagreb",Chambre Double Supérieure,1 grand lit double,"9,4",733 expériences vécues,"1 nuit, 1 adulte",,"€ 152€ 129
-15 %"
Apartment Manus A,"Lower Town, Zagreb",Studio,Hébergement géré par un particulier,"9,3",47 expériences vécues,"1 nuit, 1 adulte",,€ 50
Downtown Luxury Apartment,"Lower Town, Zagreb",Studio,Hébergement géré par un particulier,"9,0",321 expériences vécues,"1 nuit, 1 adulte",,€ 60
Logo apartments 5 min walk to main square,"Lower Town, Zagreb",Studio,Hébergement géré par un particulier,"9,3",316 expériences vécues,"1 nuit, 1 adulte",,€ 96
Royal Apartments & Rooms,"Novi Zagreb, Zagreb",Chambre Double,Types de lits : 1 lit double ou 2 lits simples,"7,1",996 expériences vécues,"1 nuit, 1 adulte",,€ 58
Rooms at Zajčeva 34,"Maksimir, Zagreb",Chambre Double Économique,1 grand lit double,"9,2",1 972 expériences vécues,"1 nuit, 1 adulte",,€ 64
Neno,"Maksimir, Zagreb",Chambre Double,Hébergement géré par un particulier,"7,9",591 expériences vécues,"1 nuit, 1 adulte",,€ 30
