Nom_Hotel,Adresse,Nom_Suite,Services,Note,Nbr_Experiences,Periode,Date,Prix
Scandic Meilahti,"Meilahti, Helsinki",Chambre Double Standard,1 lit double,"8,3",999 expériences vécues,"1 nuit, 1 adulte",,€ 108
Hotel Haaga Central Park,Helsinki,Chambre Lits Jumeaux Standard,2 lits simples,"8,4",4 091 expériences vécues,"1 nuit, 1 adulte",,€ 108€ 92-15 %
Forenom Aparthotel Helsinki Kamppi - contactless check-in,"Kamppi, Helsinki",Chambre Lits Jumeaux Standard,2 lits simples,"7,5",1 667 expériences vécues,"1 nuit, 1 adulte",,€ 115€ 106-8 %
Sky Hostel Helsinki,"Sörnäinen, Helsinki",Chambre Lits Jumeaux avec Salle de Bains Commune,2 lits simples,"7,1",1 456 expériences vécues,"1 nuit, 1 adulte",,€ 55€ 51-8 %
SweetDream Guesthouse,"Sörnäinen, Helsinki",Lit dans Dortoir 6 Lits,1 lit superposé,"8,3",299 expériences vécues,"1 nuit, 1 adulte",,€ 24€ 22-8 %
Hotel AX,"Jätkäsaari, Helsinki",Chambre Lit King-Size Standard,1 très grand lit double,"8,9",3 760 expériences vécues,"1 nuit, 1 adulte",,€ 124
CheapSleep Hostel Helsinki,Helsinki,Lit dans Dortoir Mixte de 26 Lits,1 lit superposé,"7,7",4 851 expériences vécues,"1 nuit, 1 adulte",,€ 18€ 16-8 %
Moi Aikatalo Hostel Helsinki,"Kluuvi, Helsinki",Chambre Triple Standard,3 lits simples,"8,5",1 228 expériences vécues,"1 nuit, 1 adulte",,€ 125€ 115-8 %
Hilton Helsinki Kalastajatorppa,Helsinki,Chambre Lit King-Size,1 grand lit double,"8,5",2 161 expériences vécues,"1 nuit, 1 adulte",,€ 132
Original Sokos Hotel Presidentti Helsinki,"Kamppi, Helsinki",Hébergement Lits Jumeaux Standard par Ivana Helsinki,2 lits simples,"8,3",1 214 expériences vécues,"1 nuit, 1 adulte",,€ 149
Kallion helmi,"Alppiharju, Helsinki",Appartement 1 Chambre,Hébergement géré par un particulier,"8,3",73 expériences vécues,"1 nuit, 1 adulte",,€ 55€ 50-8 %
Hotel Helka,"Etu-Töölö, Helsinki",Chambre Simple Standard,1 lit simple,"8,8",5 440 expériences vécues,"1 nuit, 1 adulte",,€ 127
The Folks Hotel Konepaja,Helsinki,Solo room,1 lit simple,"9,1",2 495 expériences vécues,"1 nuit, 1 adulte",,€ 132
Original Sokos Hotel Albert,"Punavuori, Helsinki",Chambre Standard Lit Queen-Size,1 grand lit double,"8,2",454 expériences vécues,"1 nuit, 1 adulte",,€ 155€ 143-8 %
Bob W Koti Katajanokka,"Katajanokka, Helsinki",Studio,1 lit double,"9,3",620 expériences vécues,"1 nuit, 1 adulte",,€ 137
"Hotel Katajanokka, Helsinki, a Tribute Portfolio Hotel","Katajanokka, Helsinki",Chambre 2 Lits Jumeaux/Simples Classique - Vue sur Cour,2 lits simples,"9,1",1 043 expériences vécues,"1 nuit, 1 adulte",,€ 161
"Radisson Blu Seaside Hotel, Helsinki","Kamppi, Helsinki",Chambre Standard,Types de lits : 1 lit double ou 2 lits simples,"8,5",6 619 expériences vécues,"1 nuit, 1 adulte",,€ 179
Hotel Lilla Roberts,"Kaartinkaupunki, Helsinki",Chambre Double Confort,1 très grand lit double,"8,8",557 expériences vécues,"1 nuit, 1 adulte",,€ 170
2ndhomes Gorgeous 2BR apartment by the Esplanade Park,"Kaartinkaupunki, Helsinki",Appartement 2 Chambres,"5 lits (2 lits simples, 2 lits doubles, 1 canapé-lit)","8,0",44 expériences vécues,"1 nuit, 1 adulte",,€ 210€ 197-6 %
2ndhomes Luxury Helsinki City 2BR Penthouse w/Sauna,"Kluuvi, Helsinki",Appartement avec Balcon,"4 lits (2 lits simples, 1 canapé-lit, 1 grand lit double)","7,4",16 expériences vécues,"1 nuit, 1 adulte",,€ 391€ 366-7 %
Forenom Serviced Apartments Helsinki Kruununhaka,"Kruununhaka, Helsinki",Studio (2 Adultes),2 lits simples,"7,9",371 expériences vécues,"1 nuit, 1 adulte",,€ 156€ 143-8 %
Hiisi Hotel Helsinki Jätkäsaari,"Jätkäsaari, Helsinki",Chambre Lits Jumeaux Standard,"3 lits (2 lits simples, 1 canapé-lit)","8,2",344 expériences vécues,"1 nuit, 1 adulte",,€ 117
Forenom Aparthotel Helsinki Pikku Huopalahti,Helsinki,Studio (1 Adulte) ,1 lit simple,"7,9",199 expériences vécues,"1 nuit, 1 adulte",,€ 133
Forenom Serviced Apartments Helsinki Lauttasaari,"Lauttasaari, Helsinki",Appartement Studio Simple,1 lit simple,"8,7",41 expériences vécues,"1 nuit, 1 adulte",,€ 101€ 92-8 %
Gella Serviced Apartments Office,"Eira, Helsinki",Appartement Studio - Centre-ville,2 lits simples,"8,8",208 expériences vécues,"1 nuit, 1 adulte",,€ 125€ 115-8 %
Forenom Serviced Apartments Helsinki Lapinlahdenkatu,"Kamppi, Helsinki",Studio,1 lit simple,"7,8",808 expériences vécues,"1 nuit, 1 adulte",,€ 123€ 113-8 %
Bob W Koti Ullanlinna,"Ullanlinna, Helsinki",Appartement Standard,1 grand lit double,"9,3",648 expériences vécues,"1 nuit, 1 adulte",,€ 140
Bob W City Centre,"Kluuvi, Helsinki",Studio Penthouse,"2 lits (1 très grand lit double, 1 canapé-lit)","9,4",595 expériences vécues,"1 nuit, 1 adulte",,€ 215€ 198-8 %
Little pearl of Punavuori,"Punavuori, Helsinki",Appartement,"2 lits (1 lit superposé, 1 canapé-lit)",,"1 nuit, 1 adulte",Taxes et frais compris,,€ 144
