Nom_Hotel,Adresse,Nom_Suite,Services,Note,Nbr_Experiences,Periode,Date,Prix
LjubljanaArt Apartment,"Centre-ville de Ljubljana, Ljubljana",Appartement avec Balcon,"5 lits (4 lits simples, 1 canapé-lit)","6,8",22 expériences vécues,"1 nuit, 1 adulte",,€ 120
Courtyard under the Castle,"Centre-ville de Ljubljana, Ljubljana",Appartement 1 Chambre,Hébergement géré par un particulier,"9,0",111 expériences vécues,"1 nuit, 1 adulte",,€ 101
Vitez Apartment II,"Centre-ville de Ljubljana, Ljubljana",Appartement 1 Chambre,Hébergement géré par un particulier,"8,8",15 expériences vécues,"1 nuit, 1 adulte",,€ 128
Rooms Valentino,Ljubljana,Chambre Triple Confort,"2 lits (1 canapé-lit, 1 grand lit double)","6,4",458 expériences vécues,"1 nuit, 1 adulte",,€ 74
Apartments Drevi,Ljubljana,Appartement - Rez-de-Chaussée,Hébergement géré par un particulier,"9,1",300 expériences vécues,"1 nuit, 1 adulte",,€ 103
Homestay Free Park&Bikes,Ljubljana,Chambre Double Deluxe avec Lit d'Appoint,"2 lits (1 lit double, 1 canapé-lit)","9,1",194 expériences vécues,"1 nuit, 1 adulte",,€ 83
Ljubljana Suites and Room`s,Ljubljana,Chambre Simple avec Salle de Bains Commune,1 lit simple,"5,0",23 expériences vécues,"1 nuit, 1 adulte",,€ 93
Kenti Residence,"Centre-ville de Ljubljana, Ljubljana",Appartement 1 Chambre,"2 lits (1 canapé-lit, 1 grand lit double)","8,8",41 expériences vécues,"1 nuit, 1 adulte",,€ 133
Evropa apartments,"Centre-ville de Ljubljana, Ljubljana",Appartement 1 Chambre,"2 lits (1 canapé-lit, 1 grand lit double)","8,5",153 expériences vécues,"1 nuit, 1 adulte",,€ 141
Beer & wine cellar,"Centre-ville de Ljubljana, Ljubljana",Studio,1 grand lit double,"8,7",71 expériences vécues,"1 nuit, 1 adulte",,€ 113
Apartments Šentvid,Ljubljana,Appartement,"3 lits (1 lit simple, 1 canapé-lit, 1 grand lit double)","9,4",142 expériences vécues,"1 nuit, 1 adulte",,€ 123
Urban herbs apartment,"Centre-ville de Ljubljana, Ljubljana",Appartement,Hébergement géré par un particulier,"8,6",47 expériences vécues,"1 nuit, 1 adulte",,€ 107
apartma Golovec,"Centre-ville de Ljubljana, Ljubljana",Appartement 2 Chambres,Hébergement géré par un particulier,"9,2",181 expériences vécues,"1 nuit, 1 adulte",,€ 173
Rožna Dolina Apartment,Ljubljana,Appartement,Hébergement géré par un particulier,"9,6",56 expériences vécues,"1 nuit, 1 adulte",,€ 153
Apartments FABRKA,"Centre-ville de Ljubljana, Ljubljana",Studio,2 lits simples,"8,9",108 expériences vécues,"1 nuit, 1 adulte",,€ 93
★ Exclusive Central Apartment ★ FREE Garage ★,"Centre-ville de Ljubljana, Ljubljana",Appartement,"2 lits (1 canapé-lit, 1 grand lit double)","9,5",19 expériences vécues,"1 nuit, 1 adulte",,€ 148
Petite central studio,"Centre-ville de Ljubljana, Ljubljana",Appartement,Hébergement géré par un particulier,"5,5",2 expériences vécues,"1 nuit, 1 adulte",,€ 97
Janez Rooms,Ljubljana,Chambre Double,Hébergement géré par un particulier,"8,9",454 expériences vécues,"1 nuit, 1 adulte",,€ 86
Evelina's place,"Centre-ville de Ljubljana, Ljubljana",Appartement,Hébergement géré par un particulier,"8,3",61 expériences vécues,"1 nuit, 1 adulte",,€ 167
LINA ROOMS,"Centre-ville de Ljubljana, Ljubljana",Lit dans Dortoir Mixte de 8 Lits - Sous-Sol,1 lit superposé,"8,3",1 671 expériences vécues,"1 nuit, 1 adulte",,€ 20
only 5 beds GreenSLO,Ljubljana,Lit Simple en Dortoir à 5 Lits,1 lit simple,"7,7",500 expériences vécues,"1 nuit, 1 adulte",,€ 17
Central Apartments with Parking,Ljubljana,Studio,1 grand lit double,"9,4",636 expériences vécues,"1 nuit, 1 adulte",,€ 114
Victoria Apartment,Ljubljana,Appartement,"2 lits (1 canapé-lit, 1 grand lit double)","8,4",160 expériences vécues,"1 nuit, 1 adulte",,€ 73
MS Sparrow Hostel,Ljubljana,Lit dans Dortoir Mixte de 6 Lits,1 lit simple,"9,1",303 expériences vécues,"1 nuit, 1 adulte",,€ 33
Apartment Lona,"Centre-ville de Ljubljana, Ljubljana",Loft,Hébergement géré par un particulier,"8,5",27 expériences vécues,"1 nuit, 1 adulte",,€ 178
Sašo Rooms & Apartments,Ljubljana,Appartement 2 Chambres,5 lits simples,"9,0",131 expériences vécues,"1 nuit, 1 adulte",,€ 123
Apartment Rosy,Ljubljana,Appartement Deluxe,1 grand lit double,"8,5",26 expériences vécues,"1 nuit, 1 adulte",,€ 126
Tromostovje apartments,"Centre-ville de Ljubljana, Ljubljana",Studio,"2 lits (1 canapé-lit, 1 grand lit double)","9,4",249 expériences vécues,"1 nuit, 1 adulte",,€ 116
Hanna suite,"Centre-ville de Ljubljana, Ljubljana",Studio,Hébergement géré par un particulier,"8,5",113 expériences vécues,"1 nuit, 1 adulte",,€ 118
Feel Ljubljana Centre,"Centre-ville de Ljubljana, Ljubljana",Appartement Supérieur,Hébergement géré par un particulier,"9,5",67 expériences vécues,"1 nuit, 1 adulte",,€ 218
i Design Apartment,"Centre-ville de Ljubljana, Ljubljana",Appartement Supérieur - Vue sur Château,"2 lits (1 canapé-lit, 1 grand lit double)","9,4",56 expériences vécues,"1 nuit, 1 adulte",,"€ 203€ 175
-14 %"
sLOVEnian ART STORY,"Centre-ville de Ljubljana, Ljubljana",Studio Lit Queen-Size ,Hébergement géré par un particulier,"9,4",65 expériences vécues,"1 nuit, 1 adulte",,€ 138
Strict city apartments,"Centre-ville de Ljubljana, Ljubljana",Appartement Standard,1 grand lit double,"9,2",25 expériences vécues,"1 nuit, 1 adulte",,€ 173
Apartments SHISHKA,Ljubljana,Appartement 1 Chambre,"2 lits (1 canapé-lit, 1 grand lit double)","9,0",611 expériences vécues,"1 nuit, 1 adulte",,€ 82
Apartment Tržaška,Ljubljana,Appartement,1 lit double,"7,1",137 expériences vécues,"1 nuit, 1 adulte",,€ 66
Cute sunny apartment KOD1,Ljubljana,Appartement - Rez-de-Chaussée,2 grands lits doubles,"9,3",105 expériences vécues,"1 nuit, 1 adulte",,€ 132
Turn Hostel,"Centre-ville de Ljubljana, Ljubljana",Lit Superposé dans Dortoir Mixte de 8 Lits,1 lit superposé,"8,2",705 expériences vécues,"1 nuit, 1 adulte",,€ 36
Zois Apartments,"Centre-ville de Ljubljana, Ljubljana",Studio,1 grand lit double,"8,6",345 expériences vécues,"1 nuit, 1 adulte",,€ 79
FishSquare,"Centre-ville de Ljubljana, Ljubljana",Appartement Supérieur,Hébergement géré par un particulier,"9,9",41 expériences vécues,"1 nuit, 1 adulte",,€ 233
Viktorija City Center Apartment,"Centre-ville de Ljubljana, Ljubljana",Appartement 2 Chambres,Hébergement géré par un particulier,"9,3",51 expériences vécues,"1 nuit, 1 adulte",,€ 159
Hostel Tivoli,Ljubljana,Lit Simple dans Dortoir de 11 Lits,1 lit superposé,"7,7",343 expériences vécues,"1 nuit, 1 adulte",,€ 24
Most Hostel,"Centre-ville de Ljubljana, Ljubljana",Lit Superposé dans Dortoir de 10 Lits,1 lit simple,"7,6",1 464 expériences vécues,"1 nuit, 1 adulte",,€ 17
Guest House pri Vodniku,Ljubljana,Chambre Double,1 grand lit double,"8,0",811 expériences vécues,"1 nuit, 1 adulte",,€ 87
Vila Ema Apartments and Rooms,Ljubljana,Studio avec Terrasse,1 très grand lit double,"9,1",467 expériences vécues,"1 nuit, 1 adulte",,€ 88
Simbol Rooms with free private parking,Ljubljana,Lit Simple dans Dortoir Mixte,1 lit simple,"7,1",1 051 expériences vécues,"1 nuit, 1 adulte",,€ 21
