Date_Départ,Date_arrivée,VILLE_DEPART,VILLE_ARRIVEE,Horaires,Trajet,Type de trajet,Temps de trajet,Prix,Compagnie de vol
2023-12-20,2023-12-26,VNO,KIV,06:20 – 14:05,VNOAéroport de Vilnius-KIVChisinau,1 escale,7h 45min,362 €,LOT
2023-12-20,2023-12-26,VNO,KIV,10:05 – 14:05,VNOAéroport de Vilnius-KIVChisinau,1 escale,4h 00min,362 €,LOT
2023-12-20,2023-12-26,VNO,KIV,08:35 – 14:05,VNOAéroport de Vilnius-KIVChisinau,1 escale,5h 30min,362 €,LOT
2023-12-20,2023-12-26,VNO,KIV,06:20 – 14:05,VNOAéroport de Vilnius-KIVChisinau,1 escale,7h 45min,362 €,LOT
2023-12-20,2023-12-26,VNO,KIV,10:05 – 14:05,VNOAéroport de Vilnius-KIVChisinau,1 escale,4h 00min,362 €,LOT
2023-12-20,2023-12-26,VNO,KIV,08:35 – 14:05,VNOAéroport de Vilnius-KIVChisinau,1 escale,5h 30min,362 €,LOT
2023-12-27,2024-01-02,BER,PAR,20:30 – 22:20,BERAéroport de Berlin Brandebourg-ORYAéroport de Paris-Orly,direct,1h 50min,174 €,easyJet
2023-12-27,2024-01-02,BER,PAR,09:00 – 10:50,BERAéroport de Berlin Brandebourg-ORYAéroport de Paris-Orly,direct,1h 50min,176 €,easyJet
2023-12-27,2024-01-02,BER,PAR,09:05 – 10:55,BERAéroport de Berlin Brandebourg-CDGAéroport Charles-de-Gaulle,direct,1h 50min,181 €,easyJet
2023-12-27,2024-01-02,BER,PAR,19:10 – 21:05,BERAéroport de Berlin Brandebourg-ORYAéroport de Paris-Orly,direct,1h 55min,186 €,"Transavia France, easyJet"
2023-12-27,2024-01-02,BER,PAR,11:50 – 15:15,BERAéroport de Berlin Brandebourg-CDGAéroport Charles-de-Gaulle,1 escale,3h 25min,204 €,"KLM, easyJet"
2023-12-27,2024-01-02,BER,PAR,20:30 – 22:20,BERAéroport de Berlin Brandebourg-ORYAéroport de Paris-Orly,direct,1h 50min,206 €,"easyJet, Ryanair"
2023-12-27,2024-01-02,BER,PAR,09:00 – 10:50,BERAéroport de Berlin Brandebourg-ORYAéroport de Paris-Orly,direct,1h 50min,208 €,"easyJet, Ryanair"
2023-12-27,2024-01-02,BER,PAR,19:00 – 23:00,BERAéroport de Berlin Brandebourg-CDGAéroport Charles-de-Gaulle,1 escale,4h 00min,211 €,Lufthansa
2023-12-27,2024-01-02,BER,PAR,20:30 – 22:20,BERAéroport de Berlin Brandebourg-ORYAéroport de Paris-Orly,direct,1h 50min,216 €,easyJet
2023-12-27,2024-01-02,BER,PAR,20:15 – 22:05,BERAéroport de Berlin Brandebourg-CDGAéroport Charles-de-Gaulle,direct,1h 50min,216 €,Air France
2023-12-27,2024-01-02,BER,PAR,14:30 – 17:50,BERAéroport de Berlin Brandebourg-CDGAéroport Charles-de-Gaulle,1 escale,3h 20min,216 €,"KLM, Air France"
2023-12-27,2024-01-02,BER,PAR,19:10 – 21:05,BERAéroport de Berlin Brandebourg-ORYAéroport de Paris-Orly,direct,1h 55min,218 €,Plusieurs compagnies
2023-12-27,2024-01-02,BER,PAR,09:00 – 10:50,BERAéroport de Berlin Brandebourg-ORYAéroport de Paris-Orly,direct,1h 50min,219 €,easyJet
2023-12-27,2024-01-02,BER,PAR,09:05 – 10:55,BERAéroport de Berlin Brandebourg-CDGAéroport Charles-de-Gaulle,direct,1h 50min,224 €,easyJet
2023-12-27,2024-01-02,BER,PAR,18:20 – 20:10,BERAéroport de Berlin Brandebourg-CDGAéroport Charles-de-Gaulle,direct,1h 50min,226 €,Air France
2023-12-27,2024-01-02,VNO,KIV,19:10 – 17:40+1,VNOAéroport de Vilnius-KIVChisinau,1 escale,22h 30min,416 €,LOT
2023-12-27,2024-01-02,VNO,KIV,16:55 – 17:40+1,VNOAéroport de Vilnius-KIVChisinau,1 escale,24h 45min,416 €,LOT
