Name,Link,Type,Address
Tiergartenquelle,https://www.yelp.com/biz/tiergartenquelle-berlin-2?osq=restaurant,German - Dive Bars,Bachstraße Stadtbahnbogen 481 - 482 10555 Berlin Germany
Benedict,https://www.yelp.com/biz/benedict-berlin-2?osq=restaurant,Breakfast & Brunch - International,Uhlandstr. 49 10719 Berlin Germany
Mädchenitaliener,https://www.yelp.com/biz/m%C3%A4dchenitaliener-berlin?osq=restaurant,"('Mädchenitaliener', 'https://www.yelp.com/biz/m%C3%A4dchenitaliener-berlin?osq=restaurant', 'Italian')",Alte Schönhauser Str. 12 10119 Berlin Germany
Cookies Cream,https://www.yelp.com/biz/cookies-cream-berlin-4?osq=restaurant,Vegetarian - Modern European,Behrenstr. 55 10117 Berlin Germany
Babel,https://www.yelp.com/biz/babel-berlin-2?osq=restaurant,"('Babel', 'https://www.yelp.com/biz/babel-berlin-2?osq=restaurant', 'Lebanese')",Kastanienallee 33 10119 Berlin Germany
Saigon Today,https://www.yelp.com/biz/saigon-today-berlin?osq=restaurant,"('Saigon Today', 'https://www.yelp.com/biz/saigon-today-berlin?osq=restaurant', 'Vietnamese')",Wilmersdorfer Str. 69 10629 Berlin Germany
Nil,https://www.yelp.com/biz/nil-berlin-2?osq=restaurant,Food Stands - African,Grünberger Str. 52 10245 Berlin Germany
Massai,https://www.yelp.com/biz/massai-berlin?osq=restaurant,"('Massai', 'https://www.yelp.com/biz/massai-berlin?osq=restaurant', 'African')",Lychener Str. 12 10437 Berlin Germany
AMRIT Restaurant Schöneberg,https://www.yelp.com/biz/amrit-restaurant-sch%C3%B6neberg-berlin-2?osq=restaurant,"('AMRIT Restaurant Schöneberg', 'https://www.yelp.com/biz/amrit-restaurant-sch%C3%B6neberg-berlin-2?osq=restaurant', 'Indian')",Winterfeldtstr. 40 10781 Berlin Germany
Chicago Williams BBQ,https://www.yelp.com/biz/chicago-williams-bbq-berlin?osq=restaurant,Barbeque - Sandwiches,Hannoversche Str. 2 10115 Berlin Germany
Lemongrass,https://www.yelp.com/biz/lemongrass-berlin?osq=restaurant,Thai - Pan Asian,Simon-Dach-Str. 2 10245 Berlin Germany
Rosenburger,https://www.yelp.com/biz/rosenburger-berlin?osq=restaurant,"('Rosenburger', 'https://www.yelp.com/biz/rosenburger-berlin?osq=restaurant', 'Burgers')",Brunnenstr. 196 10119 Berlin Germany
Amar,https://www.yelp.com/biz/amar-berlin-2?osq=restaurant,"('Amar', 'https://www.yelp.com/biz/amar-berlin-2?osq=restaurant', 'Indian')",Schlesische Str. 9 10997 Berlin Germany
Café Morgenland,https://www.yelp.com/biz/caf%C3%A9-morgenland-berlin-2?osq=restaurant,Breakfast & Brunch - Mediterranean,Skalitzer Str. 35 10999 Berlin Germany
Tempo-Box,https://www.yelp.com/biz/tempo-box-berlin?osq=restaurant,International - Breakfast & Brunch,Simon-Dach-Str. 15 10245 Berlin Germany
Berkis,https://www.yelp.com/biz/berkis-berlin?osq=restaurant,"('Berkis', 'https://www.yelp.com/biz/berkis-berlin?osq=restaurant', 'Greek')",Winterfeldtstr. 45 10781 Berlin Germany
Thai Inside,https://www.yelp.com/biz/thai-inside-berlin?osq=restaurant,Thai - Bars,Dircksenstr. 37 10178 Berlin Germany
AmmAmma,https://www.yelp.com/biz/ammamma-berlin?osq=restaurant,"('AmmAmma', 'https://www.yelp.com/biz/ammamma-berlin?osq=restaurant', 'Indian')",Urbanstr. 28 a 10967 Berlin Germany
Austria,https://www.yelp.com/biz/austria-berlin-2?osq=restaurant,German - Austrian,Bergmannstr. 30 10961 Berlin Germany
Tian Fu,https://www.yelp.com/biz/tian-fu-berlin-2?osq=restaurant,"('Tian Fu', 'https://www.yelp.com/biz/tian-fu-berlin-2?osq=restaurant', 'Chinese')",Uhlandstr. 142 10719 Berlin Germany
