Titre,Lien_du_titre,image,note,venueindex,catégorie,prix,adresse,étiquette,avatar,tiptext,auteur,utilisateur_lien,utilisateur
Rosa Canina,https://fr.foursquare.com/v/rosa-canina/4bdc2b0a2a3a0f47c4b1b1b6,https://fastly.4sqi.net/img/general/300x300/1878545_zujTsta_0ndd8zWsex8uRxzsFF8Hwy-IZF0QEO46snw.jpg,9.2,74,Glace,€€€€,"Pasteurstr. 32, Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/16645494_NZKygaKK_Sb4y_tae9wd9gmmxFm3zcRIF--8cnoKAHOszRmmFDUUk7S8nARywnmZseBIJoA6i.png,"Berlinow • Avril 23, 2012
Be Brave! Try raspberry-basil, chocolate-nutmeg-cardamom or black sesame (they all tastes surprisingly good)","Berlinow • Avril 23, 2012",https://fr.foursquare.com/berlinow,Berlinow
Waldbühne,https://fr.foursquare.com/v/waldb%C3%BChne/4adcda89f964a520914921e3,https://fastly.4sqi.net/img/general/300x300/14549591_eBT-n4MwL1Cn3bKixJYDAQ34ozB-d_oxVJaWvoDrCXw.jpg,9.2,75,Amphithéâtre,,"Glockenturmstr. 1, Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/5076923_mBescC8k__w5vN5AMsdorf9BvtzwovVvPlIkvtaWsH6zxxRgdK0h0nQkNTwxjxWl6vgqyr__7.jpg,"Frau Coco L. • Août 6, 2015
One of the most beautiful Summer Open Air Stages in Europe. Join Classic-, Rock-, Pop-Concerts or/and even classic movies. It's an event! Everytime! 😍👍","Frau Coco L. • Août 6, 2015",https://fr.foursquare.com/fraucocl4166144,Frau Coco L.
Kuppelumgang Berliner Dom,https://fr.foursquare.com/v/kuppelumgang-berliner-dom/51838de5498e3fca634679a8,https://fastly.4sqi.net/img/general/300x300/130431952_0EMKmd5C7Eg03sUlVcjffRWu-OnjF1vT76a-xiU1pwg.jpg,9.1,76,Belvédère / Panorama,,"Am Lustgarten 1, Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/10364737_h169vTVe_LnEMCnILxgk8IZ6fDdmruX6fPFagjdTwo0WvT97FVtysSQK1gP1pHy3tI-Mb_REJ.jpg,"La Oly F. • Il y a 3 semaines
Catedral de Berlín y su domo. Una vista panorámica al Berlín de ayer y hoy. Recomendable ✅️",La Oly F. • Il y a 3 semaines,https://fr.foursquare.com/laoly,La Oly F.
IL KINO,https://fr.foursquare.com/v/il-kino/539368bc498e7b5d5b8b4fd7,https://fastly.4sqi.net/img/general/300x300/3725124_53uhKPgiNb7xCoPVSNy7hr4AscLD3UFn7MDjqYW2sD4.jpg,9.1,77,Films indépendants,,"Nansenstr. 22 (Maybachufer), Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/349920946_sMb5B0zb_kZtQLiTMpWzscuac_INQqceolHnt_hzDnR8aLMNVbX6zXdqtMeCyKgl2xoI-HhQF.jpg,"Jamie G. • Février 7, 2019
Great venue with a fantastic range of films. Perfect for a date night with boardgames, good music, and food!","Jamie G. • Février 7, 2019",https://fr.foursquare.com/jamieg5990588,Jamie G.
Café Mugrabi,https://fr.foursquare.com/v/caf%C3%A9-mugrabi/57ca9752498e22fc8f3ce61e,https://fastly.4sqi.net/img/general/300x300/206919459_KFVxJePTgKpeJZmfLxMZbPxLiYtfxThMchzU8Oqmv8E.jpg,9.1,78,Petit déjeuner,€€€€,"Görlitzer Str. 58 (Sorauer Str.), Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/7115096-TRGLYTRZQ0EJS0U3.jpg,"Francois B. • Septembre 19, 2016
Quiet and lovely terrasse in front of Görlitzer Park. A hip new restaurant that serves innovative and fine Mediterranean food. I recommend the Sabich Bagdad (superb eggplant) and Batata.","Francois B. • Septembre 19, 2016",https://fr.foursquare.com/briodf,Francois B.
Khao Taan,https://fr.foursquare.com/v/khao-taan/5b35192597cf5a002cb8ec53,https://fastly.4sqi.net/img/general/300x300/944965_mN27Hs8Ek5hx8DASYV6ewKa3Q_au11HWhiHnhCHQafg.jpg,9.1,79,Thaïlandaise,€€€€,"Gryphiusstr. 10, Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/Z2ZO1CFHLM3CAEKS.jpg,"Tobias S. • Mars 31, 2019
Without a doubt the best Thai food I've ever eaten. Standouts: A pomelo salad with prawn, an almost ginger-bready lamb massaman and steamed fish and pork with Chinese plum and ginger.","Tobias S. • Mars 31, 2019",https://fr.foursquare.com/tobiass1167837,Tobias S.
dm-drogerie markt,https://fr.foursquare.com/v/dmdrogerie-markt/54b44bba498e3255b64820d8,https://fastly.4sqi.net/img/general/300x300/75563_S14H7vnxMq447O6xNiy-MBnKIHe6PiQeSFar3MFAcuU.jpg,9.1,80,Parapharmacie,,"Friedrichstraße 191 (Leipziger Str.), Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/32598233-BLQXZJCU12KRCCHW.jpg,"Matthias • Avril 17, 2015
I am not really sure why but women seem to LOVE that place. 😳 It is good for buying any kind of toiletries or cleaning materials but I am NOT saying that this might be the reason why women love it.","Matthias • Avril 17, 2015",https://fr.foursquare.com/klattm,Matthias
Domberger Brot-Werk,https://fr.foursquare.com/v/domberger-brotwerk/5808dadd38fab9ca5d32bccb,https://fastly.4sqi.net/img/general/300x300/1325768_Bq9e1MKdoemsvgPz9Ox4MaHiROgk1P8jODqtQwo9KLw.jpg,9.1,81,Boulangerie,€€€€,"Essener Str. 11, Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/22381143_AQJpUz2O_t_bLwws96P0fGi8yIbGknwgZIa50Dp-86lW4HOHpsem5tPD4tN-J--MzpX6X_7bM.jpg,"Philip M. • Juillet 21, 2017
Amazing bread, delicious home made bretzel and cake, perfect for lunch/brunch","Philip M. • Juillet 21, 2017",https://fr.foursquare.com/philipm5367679,Philip M.
Markthalle Neun,https://fr.foursquare.com/v/markthalle-neun/4ca85d4ef47ea1434a587421,https://fastly.4sqi.net/img/general/300x300/12106177_IBO-kUXk5k-pYj1T4xBL2WF1OYcDiyKDyvTvSr9LAOw.jpg,9.1,82,Espace de restauration,€€€€,"Eisenbahnstr. 42/43, Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/104964625-X0Q1CQD31HKH55S3.jpg,"Isabelle R. • Juillet 12, 2017
... marché transformé en stands de restaurants style foodtruck. Belle...","Isabelle R. • Juillet 12, 2017",https://fr.foursquare.com/isabellr1657042,Isabelle R.
Pergamonmuseum. Das Panorama,https://fr.foursquare.com/v/pergamonmuseum-das-panorama/5ae19855d552c7002cec2065,https://fastly.4sqi.net/img/general/300x300/40731946_7aNvpAucYgCnt1zUjf5HENxitYsx7lDLSv3YsEYJlOI.jpg,9.1,83,Exposition,,"Am Kupfergraben 3-5 (Georgenstr.), Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/128868754_45RX7YaK_ZpOA3erFGp6jQd8CjUn4-J76xpU0_5ZsBAO5qi5cxbwSMPGUq2yY2TdTUfKH1GVO.jpg,"Apostolos S. • Avril 20, 2022
Absolutely mesmerizing. Must visit and you won't regret it.","Apostolos S. • Avril 20, 2022",https://fr.foursquare.com/aposamar,Apostolos S.
Kame,https://fr.foursquare.com/v/kame/56b8e7b6498e53579eaf155c,https://fastly.4sqi.net/img/general/300x300/18528869_deOMtj1HiOEoc9EzwPXjAhnh5cdz0oDh9H53fydyD5g.jpg,9.1,84,Boulangerie,€€€€,"Leibnizstr. 45, Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/135366806_e1TtUA-m_zJeLWNbs4VkjJpPvcisVfpGX5fZleo0KvR9YkbocLRIGjdks0uhJzosltOIPcmmE.jpg,"N K. • Février 4, 2019
Great place for matcha lovers and nice service. Coffee was also good!","N K. • Février 4, 2019",https://fr.foursquare.com/nk2851669,N K.
Reichstag,https://fr.foursquare.com/v/reichstag/4b0abfeaf964a520462723e3,https://fastly.4sqi.net/img/general/300x300/1268849_Xdxmd5VxokV-HixC9GMP5X7dqaaOiafy7O5LOSTrlEg.jpg,9.1,85,Capitole,,"Platz der Republik 1, Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/XEJRUF43KUHFIOFS.jpg,"Lollies • Octobre 28, 2014
Gratuit et très belle vue.","Lollies • Octobre 28, 2014",https://fr.foursquare.com/lollies,Lollies
Berliner Mauerweg | Berlin Wall Trail,https://fr.foursquare.com/v/berliner-mauerweg--berlin-wall-trail/4ea2aea06da1455cac7329a5,https://fastly.4sqi.net/img/general/300x300/86609934_dDci_ZVdYPmZUf321GE2R8-LL8qRtRFhK-gE_HZ0b5o.jpg,9.1,86,Chemin,,Berlin,Enregistrer ,https://fastly.4sqi.net/img/user/64x64/88817695-ANB5F3BQCU03UIPY.jpg,"Hugues G. • Novembre 4, 2015
Excellent moment d histoire","Hugues G. • Novembre 4, 2015",https://fr.foursquare.com/huguesg3686124,Hugues G.
The Room - Live Escape Game Berlin,https://fr.foursquare.com/v/the-room--live-escape-game-berlin/54fc5792498e7270520fae9d,https://fastly.4sqi.net/img/general/300x300/7565892_1HFyjAov_IeNFWbwMKGlpG3SyQXS9Pwk8R-b9X7uVrY.jpg,9.1,87,Escape game,,"Ruschestr. 64-66, Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/89305941_TbxI10De_tvrGi_uKVZrr2mjqMsXoYGqzjPjFWwJIZwv13TLwIccFGo5c8z7Tho1s7LMjNmwn.jpg,"Anat T. • Juillet 5, 2015
""The beast of Berlin"" and ""Go West"" are absolutely amazing! The staff is very friendly and the games are very well designed. 60 minutes of adrenaline and fun time with your friends ☆☆☆☆☆","Anat T. • Juillet 5, 2015",https://fr.foursquare.com/anatt9681133,Anat T.
Drachenberg,https://fr.foursquare.com/v/drachenberg/4c30a75e213c2d7f73c0325d,https://fastly.4sqi.net/img/general/300x300/426073_nKe-pHbGFLA7gbWKYmB4NW4uWrGZ0__oDKCzugCwW-c.jpg,9.1,88,Montagne,,"Teufelsseechaussee (im Forst Grunewald), Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/86249-1ADYSVEELVXXKOMB.jpg,"Taylor • Septembre 14, 2014
Beautiful view over Berlin. Hill was created from the rubble of the city post-WWII.","Taylor • Septembre 14, 2014",https://fr.foursquare.com/taylor2160501,Taylor
Kap Stralau,https://fr.foursquare.com/v/kap-stralau/4bfabbbab182c9b6a0bd7a5a,https://fastly.4sqi.net/img/general/300x300/31021445_cpDQ5peTXcXc26wsT6D4ZLynaespyK-nGJhJRZlsov8.jpg,9.1,89,Belvédère / Panorama,,"Tunnelstr., Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/217500888_f2hD8vn7_80dxWalt85cL5PCMvWLf7BFByyb4MBOJt5ctugmaVGPMp04sgv56hX62kv2I2Auh.jpg,"Viola R. • Juillet 24, 2017
Die ganze Halbinselwege am Wasser sind traumhaft. Es wird getoppt durch die Spitze der Halbinsel❤️","Viola R. • Juillet 24, 2017",https://fr.foursquare.com/violar2010371,Viola R.
Astor Film Lounge,https://fr.foursquare.com/v/astor-film-lounge/4b4b4584f964a520229626e3,https://fastly.4sqi.net/img/general/300x300/3710308_OHbj_yQmnvxNyF4gM2n8ObB1Fsy5-zCf3w2Hx6AsdYQ.jpg,9.1,90,Cinéma,,"Kurfürstendamm 225 (Joachimstaler Str.), Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/HQDP5E51WQJ2KI52.gif,"Orange France • Mai 14, 2012
Chico & Rita décroche l'European Film Award du meilleur film d'animation en 2011. Retrouvez toute l'actualité Orange Cinéma sur Facebook.","Orange France • Mai 14, 2012",https://fr.foursquare.com/orange_france,Orange France
Hotel Zoo,https://fr.foursquare.com/v/hotel-zoo/4c3f731ee26920a175755be7,https://fastly.4sqi.net/img/general/300x300/36475381_9ms6bOnHbIcb1rgeGE5QQG4Fs8-pum3ebvodzV_9_L8.jpg,9.1,91,Hôtel,,"Kurfürstendamm 25, Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/93659630_64aQcORV_mbyiuC-UqvQ18BEOQq6ZKGDSdhtW9qAna95MVOki3hcz_iEdOnoWX-ptstD5nwLK.jpg,"Michael L. • Mai 8, 2017
Chic, designer, trendy. Outstanding staff. Fun/lively bar. Highly recommended overall","Michael L. • Mai 8, 2017",https://fr.foursquare.com/michaell6982438,Michael L.
La Maison,https://fr.foursquare.com/v/la-maison/5ccc1f21ad910e002c1da8b8,https://fastly.4sqi.net/img/general/300x300/9340704_uSVj6MIZ6qmW1Jmsy9Cm3Ep5M6xXQhewR6eqeCE5ApQ.jpg,9.1,92,Boulangerie,€€€€,"Forster Str. 22 (Paul-Lincke Ufer), Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/173253407-3RPHJIUPNPBBO55Z.jpg,"Mana A. • Novembre 2, 2021
Cosy and chill. Good service and crispy crossaints. Yum!","Mana A. • Novembre 2, 2021",https://fr.foursquare.com/manaa7299683,Mana A.
Zeit für Brot,https://fr.foursquare.com/v/zeit-f%C3%BCr-brot/586679cc45c3ed1e7d4c5723,https://fastly.4sqi.net/img/general/300x300/14650296_P89LcMUht3r0oKcrLoJ0MnBx_4X3yIbTnKVhw5920ak.jpg,9.1,93,Boulangerie,€€€€,"Xantener Str. 1 (Konstanzer Str.), Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/94175953_plQpLLQD_69j1z43GxNP5kohRDlJ3zRB0iX6JncclTn1W2qqfIroWksP_YmWVyccYHKd5HYen.jpg,"Marie F. • Février 7, 2017
Laisser-vous tenter par un Zimmtschneck, vous ne le regretterez pas 😍","Marie F. • Février 7, 2017",https://fr.foursquare.com/marief7525957,Marie F.
Freiluftkino Friedrichshain,https://fr.foursquare.com/v/freiluftkino-friedrichshain/4c0953e0a1b32d7fa57c97f0,https://fastly.4sqi.net/img/general/300x300/881551__e1WqW_TuZmZLP2B0Noiwxm8hnXy9SH_o3faVyp83Mg.jpg,9.1,94,Films indépendants,,"Landsberger Allee 17 (Ernst-Zinna-Weg), Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/EYHNBN5LN21L1PCU.png,"Maria K. • Août 26, 2016
Most beautiful open-air cinema in Berlin. So many seating options: plastic chairs (with and without tables), wooden benches, the grass...","Maria K. • Août 26, 2016",https://fr.foursquare.com/maria_berlin,Maria K.
Botanischer Garten,https://fr.foursquare.com/v/botanischer-garten/4da0074ba77d816e6dff0f09,https://fastly.4sqi.net/img/general/300x300/102598324_vw3IP_7PFxO7JPMCayDwHjNuajR3d8uXf467PcPlR8I.jpg,9.1,95,Jardin botanique,,"Königin-Luise-Str. 6-8, Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/1780248_MxdrDGq9_LUvJhJqbrpQfQ5ZdJqtAA8zjs9sgdW6QvT03-1XO-dgZnCf0deDhjECTA8VLG5oF,"Bence F. • Août 20, 2017
More than 1k species. It's huge, it take at least 3-4 hours to rush over. Highly recommended!","Bence F. • Août 20, 2017",https://fr.foursquare.com/bencef7835106,Bence F.
Konzerthaus Berlin,https://fr.foursquare.com/v/konzerthaus-berlin/4adcda7cf964a520584721e3,https://fastly.4sqi.net/img/general/300x300/38963040_tyVskhEFHMKE7xrwFk-x2uZyozdJcP8PVKD_XZCNrSw.jpg,9.1,96,Salle de concert,,"Gendarmenmarkt 3/4 (Charlottenstr.), Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/MGRYKIOK2Y5AOGOA.jpg,"Mike P. • Octobre 25, 2014
Amazing place. Luxurious. Dress code. Epic night dress/Good suit.","Mike P. • Octobre 25, 2014",https://fr.foursquare.com/mikep6055752,Mike P.
Rummelsburger Bucht,https://fr.foursquare.com/v/rummelsburger-bucht/4c6923593bad2d7fc4fcaeee,https://fastly.4sqi.net/img/general/300x300/16839866_e2bubW3abObPYO1QwrpiUUD0sq-GwNs3xID6kOef8nA.jpg,9.1,97,Lac,,"Rummelsburger See (Bolleufer), Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/28267763-3JVTX1AE1Z2PUWFL.jpg,"i.am. a. • Juillet 15, 2016
Beautiful and calm spot, it feels like far away from the city!","i.am. a. • Juillet 15, 2016",https://fr.foursquare.com/i.am.a9799444,i.am. a.
Hotel am Steinplatz,https://fr.foursquare.com/v/hotel-am-steinplatz/52651915498efbb22b314e60,https://fastly.4sqi.net/img/general/300x300/771733_EyEBLu0g8dENfcphRee-47xYoWXfXtHQBU6xX-6bO1k.jpg,9.1,98,Hôtel,,"Steinplatz 4 (Uhlandstr.), Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/blank_girl.png,"Hadeel K. • Juillet 20, 2019
Outstanding rooms and kind staff. The location is so perfect","Hadeel K. • Juillet 20, 2019",https://fr.foursquare.com/hadeelk5722575,Hadeel K.
Winterfeldt Schokoladen,https://fr.foursquare.com/v/winterfeldt-schokoladen/4b852260f964a520754d31e3,https://fastly.4sqi.net/img/general/300x300/40229448_3TGz1Asfow_ktW7uy7MXTL7_kF9Y1LI0OXH3lMzx6oQ.jpg,9.1,99,Chocolatier,€€€€,"Goltzstr. 23, Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/7075029_LV2bEDtM_HLx0wbFqkzIPNoQAtKDjXR7laaYdEcDoojSNDec77-WOB6Z8uhvwaHgvGdMWvO5F.jpg,"Gonzalo A. • Juillet 8, 2018
Definitely great scones. Their hot chocolate is worth a try too","Gonzalo A. • Juillet 8, 2018",https://fr.foursquare.com/gonzaloa4358335,Gonzalo A.
Maybachufer,https://fr.foursquare.com/v/maybachufer/4dcabbd5887769ff3d55c98d,https://fastly.4sqi.net/img/general/300x300/147953216_8kGyV45Vg3ZeTYF7SzRmh20ZyhZCzUiN8RUsmEHJiy8.jpg,9.1,100,Front de mer,,"Maybachufer, Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/187556277-U5E3WLY14B4D2R10.jpg,"Manu V. • Mai 27, 2018
Beautiful spot in the summer to sit and drink vegan wine.","Manu V. • Mai 27, 2018",https://fr.foursquare.com/manuv5609341,Manu V.
FACIL,https://fr.foursquare.com/v/facil/4adcda88f964a5205b4921e3,https://fastly.4sqi.net/img/general/300x300/42360916_6kbSewctmumTLbuxNV8E-a9Q2ojNABbkAsv4D7Rpghg.jpg,9.1,101,Gastronomie européenne,€€€€,"Potsdamer Str. 3, Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/136600025_UsAiY2st_EiB-f5Oo7VWkr-JBLukX0XnRN7iFE6Nm6utpVyhtGAbnn2cc1qWIP_A5bEUOU95Q.jpg,"Victoria F. • Décembre 31, 2017
Amazing place and food. I love the combination of tastes. Good service. Big portions for a restaurant with stars.","Victoria F. • Décembre 31, 2017",https://fr.foursquare.com/victorif5375211,Victoria F.
Café Quitte,https://fr.foursquare.com/v/caf%C3%A9-quitte/4c127e1477cea5939d26cd60,https://fastly.4sqi.net/img/general/300x300/102598324_5i5Z_DFET0_Gib-bxRYK8nJluxPAKcUfL_DOSPGmHWs.jpg,9.1,102,Café,€€€€,"Wiener Str. 62, Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/85991492-TMXNIVT0B5WRF0CP.jpg,"Cole M. • Octobre 7, 2015
Good, strong coffee. Decent sandwiches and bagels also. Friendly staff.","Cole M. • Octobre 7, 2015",https://fr.foursquare.com/colemercer,Cole M.
Salami Social Club,https://fr.foursquare.com/v/salami-social-club/5790e5b2498e81f1deeda271,https://fastly.4sqi.net/img/general/300x300/1673778_-TDHO-sXLbwD8gazr1nYpcKRK6XyKKmbM9UN6-GiiRE.jpg,9.1,103,Pizza,€€€€,"Frankfurter Allee 43, Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/32598233-BLQXZJCU12KRCCHW.jpg,"Matthias • Août 30, 2018
This is my kind of Berlin food experience! Small place, edgy people, relaxed atmosphere and people knowing what they are doing when it comes to the food they offer! 👌🏼 Enjoy great pizza & beers!😊","Matthias • Août 30, 2018",https://fr.foursquare.com/klattm,Matthias
Spontan Coffee & Roastery,https://fr.foursquare.com/v/spontan-coffee--roastery/578f2311498e641cdff83d26,https://fastly.4sqi.net/img/general/300x300/50003959_kKajLpViMZ069jMCt8EI_XgqwGyc-qsx4G9SdLjtYrc.jpg,9.1,104,Coffee Shop,€€€€,"Gotzkowskystr. 28, Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/477757902_Vk2LSXRx_-Wsx8ThG4JnN4rNwe4lOE9tT_oqcNI3NMiQdAUNle9wnoJDBRB0VdoRavjr1-Bmb.jpg,"Truong L. • Mai 27, 2022
Very cozy coffee shop and friendly staff, music is light and suit the atmosphere","Truong L. • Mai 27, 2022",https://fr.foursquare.com/truongl8587309,Truong L.
Haus Schwarzenberg,https://fr.foursquare.com/v/haus-schwarzenberg/4c51fd25048b1b8de305d52f,https://fastly.4sqi.net/img/general/300x300/54660890_yUFF3HcsxUS2e2hnq9yD7aBBJ7StnBWAz8YrQLMyNCM.jpg,9.1,105,Centre culturel,,"Rosenthaler Str. 39, Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/XVEF0FCYXL0MPWYW.jpg,"Matti G. • Avril 28, 2011
The bar in here is great.","Matti G. • Avril 28, 2011",https://fr.foursquare.com/mattig9811172,Matti G.
Picoteo,https://fr.foursquare.com/v/picoteo/51d30c42498e5a8f716ba3cb,https://fastly.4sqi.net/img/general/300x300/12225873_47Y3-gS25-x4ILfe6E1xemZ1Q-veG4oiSX0t0CA3vqY.jpg,9.1,106,Espagnole,€€€€,"Erkelenzdamm 47, Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/482618733_VmpDW-d-_J8Mtx7h1XfwjVoRK-YNbVXoZrZNOpu8Uosi_LaxaBqVnL0R3ENoy_FUi6vRE9xgx.jpg,"Estelle E. • Avril 8, 2018
Très bonne cuisine, endroit super sympa!","Estelle E. • Avril 8, 2018",https://fr.foursquare.com/estellee8680665,Estelle E.
Knödelwirtschaft,https://fr.foursquare.com/v/kn%C3%B6delwirtschaft/526ac1e111d27b2a996ec57a,https://fastly.4sqi.net/img/general/300x300/50821587_ZrbAKf-RTK0wE3A-GPBQ_7FXlDzoRpdPlt1ybIy2jck.jpg,9.1,107,Quenelles,€€€€,"Fuldastrasse 33, Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/375282922_2c73HgsQ_IVBW8T_jU3EUIXUTI_29CfVw3-fb26ngj2PaktQk4JBy95j6XE-jhVosMftPYKSl.jpg,"Marie L. • Août 10, 2017
Damn good combinations of tastes! Try the mushroom soup with a collection of their dumplings. - they also have great choices for vegetarians!💘","Marie L. • Août 10, 2017",https://fr.foursquare.com/mariel5800255,Marie L.
Bücherbogen,https://fr.foursquare.com/v/b%C3%BCcherbogen/4adcda8ef964a520954a21e3,https://fastly.4sqi.net/img/general/300x300/4116436_qIBY_RWSz1Q193ACnNj7hlMnIVkDsynxSJuaFf9U9og.jpg,9.1,108,Librairie,,"Stadtbahnbogen 593 (Savignyplatz), Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/399032996_MjSnh6VW_m2OPBUV5ZSXw_VyxrUSkqsO5h-GECc5bAvus9Z0Eja1maFEj6Xx3hkuLEyonFDRF.jpg,"David G. • Octobre 27, 2019
Belle librairie dans un quartier sympathique de Berlin ouest.","David G. • Octobre 27, 2019",https://fr.foursquare.com/davidg6539692,David G.
Heimathafen Neukölln,https://fr.foursquare.com/v/heimathafen-neuk%C3%B6lln/4b0ea86df964a5205f5923e3,https://fastly.4sqi.net/img/general/300x300/5545_o5pL5nR5bpqcKQQSRY6_j8OCfXKXlP18qTL40eTFBKo.jpg,9.1,109,Indépendant,,"Karl-Marx-Str. 141, Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/8029212_4CgZoyAQ_z4qsMDl97BJHPUzcHBZLtJH4D0eQh_jTHxK1OAV8KNb4hmjtpN-HkVshtrVNvik4.jpg,"Carsten • Août 22, 2014
Certainly one of Berlin's most beautiful concert/theater venues, with a history of well over 100 years. Great acoustics, too - if you have a chance to catch a performance here, do it!","Carsten • Août 22, 2014",https://fr.foursquare.com/locationsite,Carsten
Mehlstübchen,https://fr.foursquare.com/v/mehlst%C3%BCbchen/4f23c562e4b0b653a2dbac8a,https://fastly.4sqi.net/img/general/300x300/3521197_VYi218e-mS_Sejet2IjHR0NSMtUg04DVBCCnFCrrL7Y.jpg,9.1,110,Boulangerie,€€€€,"Leberstr. 28, Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/223917-A1UWBGVXMRXSJDMB.jpg,"Fabio D. • Octobre 11, 2020
Great selection of flours so if you are into baking a must. Also has a good selection of baked good which are worth checking out","Fabio D. • Octobre 11, 2020",https://fr.foursquare.com/totalnonsense,Fabio D.
LINDNER Esskultur,https://fr.foursquare.com/v/lindner-esskultur/4baa0944f964a52086453ae3,https://fastly.4sqi.net/img/general/300x300/25528949_ADfgEmbH89lyKmbctRYa7gnNdBMd3fFTe4YUYLO_tnU.jpg,9.1,111,Gastronomique,,"Wilhelmstr. 68a, Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/101880038-IGLWZGJWHKWJ5IM1.jpg,"Christoph • Décembre 13, 2019
Favorit: Avocado chicken burrito! Auch sonst tolle Auswahl an Köstlichkeiten!","Christoph • Décembre 13, 2019",https://fr.foursquare.com/christop6104975,Christoph
Flying Tiger,https://fr.foursquare.com/v/flying-tiger/588875294745863ba6709dcf,https://fastly.4sqi.net/img/general/300x300/5797122_HsNxC02_k9BCfN-btLtDEv9jkw_g4K4NF_bPwz_3Y9U.jpg,9.1,112,Boutique de cadeaux,,"Alexanderplatz 8, Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/19906627_MeWJGhpe_qEvVBT2JjwHk6LA1-OluuQe164OtM6G2xp0q9kRGeQDtvUCSeRGRkj7J4wz8iuCn.jpg,"Meltem K. • Octobre 13, 2019
Krims krams Heaven! Can find everything I need :)","Meltem K. • Octobre 13, 2019",https://fr.foursquare.com/mare_nubium,Meltem K.
Father Carpenter,https://fr.foursquare.com/v/father-carpenter/54bd1e28498eec46cfc17c24,https://fastly.4sqi.net/img/general/300x300/4117318_yKXwWDOGa3_ft37UICzj29KWaE_qmY5rq8kc1Wo8Udg.jpg,9.1,113,Coffee Shop,€€€€,"Münzstr. 21 (1. Hof), Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/137668228-L5SAOSHEYAFC5IA1.jpg,"Houcem K. • Avril 21, 2017
Un excellent endroit 🌟🌟🌟🌟🌟 je peux rien recommander tout est delicieux","Houcem K. • Avril 21, 2017",https://fr.foursquare.com/houcemk8609258,Houcem K.
Großes Tropenhaus,https://fr.foursquare.com/v/gro%C3%9Fes-tropenhaus/51fbab13498ec59500425a38,https://fastly.4sqi.net/img/general/300x300/31021445_NpmD2rOZUaZ-67qk0Ti9MVizyVc5zRbsD6qEGv_EUmo.jpg,9.1,114,Jardin botanique,,"Königin-Luise-Str. 6-8, Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/YI2KFCHAHUEZLMZJ.jpg,"Alex • Août 19, 2018
Beautiful collections of flora from all over the world","Alex • Août 19, 2018",https://fr.foursquare.com/alexleonard,Alex
