Titre,Lien_du_titre,image,note,venueindex,catégorie,prix,adresse,étiquette,avatar,tiptext,auteur,utilisateur_lien,utilisateur
Porte de Brandebourg,https://fr.foursquare.com/v/brandenburger-tor/4adcda7cf964a520524721e3,https://fastly.4sqi.net/img/general/600x600/44826257_w0WcgNniUHK37mjOkWMh3vZvYfIwiOuuYzo3dy5AtuM.jpg,9.4,11,Monument,,"Pariser Platz (Platz des 18. März), Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/45330188_nV43kF33_fw1klAIlRp1MiEtspmoNVTsx2e19hO6nky1eCPdzB2HP0-Ja6xalDxZifdiu5VF-.jpg,"Biohazard75☣️💦 X. • Octobre 18, 2014
Magnifique","Biohazard75☣️💦 X. • Octobre 18, 2014",https://fr.foursquare.com/x6992924,Biohazard75☣️💦 X.
Volkspark Friedrichshain,https://fr.foursquare.com/v/volkspark-friedrichshain/4adcda7df964a520864721e3,https://fastly.4sqi.net/img/general/600x600/24638_WdkJo5f2gVG0M26dy-9fgrRp9vDmgHX6udUdMBPFnZk.jpg,9.4,12,Parc,,"Am Friedrichshain (Friedenstr.), Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/95658328-S5S3FE3V1QDOQYGP.jpg,"Océane C. • Janvier 29, 2015
Le meilleur parc du monde !","Océane C. • Janvier 29, 2015",https://fr.foursquare.com/oceanetacos,Océane C.
Holzmarkt,https://fr.foursquare.com/v/holzmarkt/516f0e9b498e512764c4a253,https://fastly.4sqi.net/img/general/600x600/7197301_qkNsYzUpZ0gHfIxnCuwgQq-ZP6Jr1A3pH-WZyNKCPLA.jpg,9.4,13,Culture et loisirs,,"Holzmarktstr. 25, Berlin",Enregistrer ,,,,,
Zeit für Brot,https://fr.foursquare.com/v/zeit-f%C3%BCr-brot/5c79404f911fc4002c4ca423,https://fastly.4sqi.net/img/general/600x600/129638380_iIvwQbM4a_VfuW18y4KzejFZ85Ycn96vWfWFTwzWAIo.jpg,9.4,14,Boulangerie,€€€€,"Weinbergsweg 2, Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/29007429_mXNE1AxY_44TiacVZfbTZ1fj_psGzC_Hl2m7fMsHV0X9pV3l-hH1C0W607PLhmHHPP4aKPj8S.jpg,"Jack S. • Septembre 25, 2020
Their bread swirls, sweet and savoury, are amazing. Great for breakfast, lunch, or a quick snack whilst passing by. Their coffee is pretty good too.","Jack S. • Septembre 25, 2020",https://fr.foursquare.com/jacks8197468,Jack S.
Bräugier Brewpub,https://fr.foursquare.com/v/br%C3%A4ugier-brewpub/5ca3a5c9598e64002c13c42d,https://fastly.4sqi.net/img/general/600x600/864894_ce_pI4OAEW2TSJjiX9RZHYeI5hu3ZwtyJg54LuA9cZ4.jpg,9.4,15,Bar à bières,,"Stubbenkammerstr. 6, Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/447738859_W1nBehLD_srplnWdyvbkymDADh5dIYvOydPul9eo-Oz-QkXtFl_pd7GEp5tbmR-OjjvnVhhT9.jpg,"Carrie R. • Octobre 3, 2019
Schwartzbier is great. Good beer selection, cozy atmosphere, friendly, welcoming owner.","Carrie R. • Octobre 3, 2019",https://fr.foursquare.com/carrier3324145,Carrie R.
Viktoriapark,https://fr.foursquare.com/v/viktoriapark/4adcda7df964a5208c4721e3,https://fastly.4sqi.net/img/general/600x600/19581467_YZ2P3_pgr12KDGvb831zhoEDPu4BVQC8wIp0_uKBPUo.jpg,9.4,16,Parc,,"Kreuzbergstr. (Katzbachstr.), Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/A22R4H3WUC5FRSWH.jpg,"Gonçalo T. • Mars 28, 2016
Beautiful, wide park. And the view at the top is excellent.","Gonçalo T. • Mars 28, 2016",https://fr.foursquare.com/gonch145,Gonçalo T.
Dussmann das KulturKaufhaus,https://fr.foursquare.com/v/dussmann-das-kulturkaufhaus/4adcda8ef964a520a74a21e3,https://fastly.4sqi.net/img/general/600x600/581386_e9xjAqzhaRVr9bAwDDRw1BKwmsxprGGLWxsb4kOvH3g.jpg,9.4,17,Librairie,€€€€,"Friedrichstr. 90, Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/153730836-PBADIYUYKIDZFQEH.jpg,"Aude R. • Février 25, 2016
Excellente librairie anglophone.","Aude R. • Février 25, 2016",https://fr.foursquare.com/rieu_aude,Aude R.
Cathédrale de Berlin,https://fr.foursquare.com/v/berliner-dom/4adcda7cf964a520534721e3,https://fastly.4sqi.net/img/general/600x600/500300882_SBBgGWNs2Eda6eutSZ7EPUy6iaiLexQdHOsN4Ywv1jI.jpg,9.4,18,Église,,"Am Lustgarten 1, Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/PYIBAEJURS3JC0KB.jpg,"Vava • Décembre 10, 2013
Intérieurcmajestueux. 4,5 € avec Welcome card. Possibilité de monter jusqu'au dome d'où la vue est toute aussi magnifique. A voir.","Vava • Décembre 10, 2013",https://fr.foursquare.com/vava5328055,Vava
Île aux Musées,https://fr.foursquare.com/v/museumsinsel/4adcda80f964a5201c4821e3,https://fastly.4sqi.net/img/general/600x600/24541358_nOTjdvS5uHOhkCXm_6gt2QEiPGCqs21K-cMXx4D3LUk.jpg,9.3,19,Île,,"Am Lustgarten (Bodestr.), Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/10101562_FuUjfv3s_0dyqjCMfq4daAJCf4-1cVgP76i3xUnT1BbvDBsGyZrOgEnKIg7E68-ttFCTMjZ1_.jpg,"Charles L. • Juin 8, 2019
Magnifique île avec beaucoup de musée.","Charles L. • Juin 8, 2019",https://fr.foursquare.com/charles_camden,Charles L.
Nonne & Zwerg,https://fr.foursquare.com/v/nonne--zwerg/58fddc46d807ee31e4243183,https://fastly.4sqi.net/img/general/600x600/221162_EZUfZAum7B00NWW8YqMFkpCvBIAZR9GgJgkkIYcS25Y.jpg,9.3,20,Méditerranéenne,€€€€,"Mittenwalder Str. 13 (Fürbringerstr), Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/104657993-NBIHM5E4AQWY4INV.jpg,"Tibo • Septembre 13, 2019
In a quiet area but really worthwhile visiting! Amazing food, friendly staff, affordable prices (even for students). This place truly deserves the high rating!","Tibo • Septembre 13, 2019",https://fr.foursquare.com/tieb1407,Tibo
