Titre,Avis,Type,Price
 The Race Club Roma Speakeasy,640 avis,Bar,€€-€€€
 Il Barroccio,1 454 avis,"Italienne, Romana",€€-€€€
 Masto,564 avis,"Italienne, Internationale",€€-€€€
 La Valle del Sacco,1 945 avis,"Italienne, Pizza",€
 Porta Castello,1 476 avis,"Italienne, Pizza",€
 Alfredo e Ada,1 276 avis,"Italienne, Méditerranéenne",€
 Ristorante Chiaroscuro,832 avis,Italie du Centre,€€-€€€
 Casa Prati,739 avis,"Italienne, Méditerranéenne",€€-€€€
 Dema Restaurant,434 avis,"Italienne, Fruits de mer et poisson",€€-€€€
 Stile Benaco,903 avis,"Italienne, Fruits de mer et poisson",€€-€€€
 Il Ragno d'Oro,3 567 avis,"Italienne, Fruits de mer et poisson",€€-€€€
 Fres&co Coronari,568 avis,Italienne,€€-€€€
 'Gusto,4 146 avis,"Italienne, Italie du Nord",€€-€€€
 Trattoria Casa Mia In Trastevere,1 109 avis,"Italienne, Méditerranéenne",€€-€€€
 Schietto Cucina alla Mano,345 avis,"Italienne, Fruits de mer et poisson",€€-€€€
 Contrario - Vineria Con Cucina,333 avis,"Italienne, Méditerranéenne",€€-€€€
 Ristorante Perpetual,265 avis,"Italienne, Fruits de mer et poisson",€€€€
 MILE Restaurant,455 avis,"Italienne, Méditerranéenne",€€-€€€
 Osteria29,370 avis,"Italienne, Méditerranéenne",€€-€€€
 L'Osteria degli Avvocati,318 avis,"Italienne, Fruits de mer et poisson",€€-€€€
 CULT Burger Attitude,676 avis,"Américaine, Steakhouse",€€-€€€
 Barbarossa BeerFood,141 avis,"Italienne, Américaine",€
 Il Ristoro dal Patriota,4 338 avis,"Italienne, Fruits de mer et poisson",€€-€€€
 Sughero,416 avis,"Italienne, Fruits de mer et poisson",€€-€€€
 Pizzeria La Boccaccia,875 avis,"Italienne, Pizza",€
 Italy Food Ristorante,455 avis,"Italienne, Barbecue/Grillades",€€-€€€
 La Fraschetta di Castel Sant'Angelo,3 167 avis,"Italienne, Méditerranéenne",€€-€€€
 Acquolina Ristorante,783 avis,Méditerranéenne,€€€€
 Donkey Punch,275 avis,"Italienne, Bar",€
 Osteria da Fortunata - Pellegrino,13 644 avis,"Italienne, Romana",€€-€€€
 Tischi Toschi Roma,349 avis,"Italienne, Fruits de mer et poisson",€€-€€€
 Ristorante Vladimiro,1 860 avis,"Italienne, Romana",€€-€€€
 Io e Valter Pizzeria Le Torri,412 avis,"Italienne, Pizza",€
 Cuoco & Camicia,1 001 avis,"Italienne, Méditerranéenne",€€-€€€
 Er Polpetta dal 1987,970 avis,"Italienne, Méditerranéenne",€€-€€€
 Jaipur - Ristorante Indiano,777 avis,"Indienne, Asiatique",€€-€€€
 Comodo Mercato Trevi,177 avis,"Italienne, Américaine",€€-€€€
 Trattoria Da Zacca ar 20,284 avis,"Italienne, Méditerranéenne",€€-€€€
 Mariuccia,1 908 avis,"Italienne, Pizza",€€-€€€
 Viva,386 avis,"Fruits de mer et poisson, Méditerranéenne",€€€€
 Goose,1 627 avis,"Italienne, Pizza",€€-€€€
 Per Me Giulio Terrinoni,839 avis,"Italienne, Fruits de mer et poisson",€€€€
 Pasta In Corso,1 020 avis,"Italienne, Méditerranéenne",€
 Zampagna,664 avis,"Italienne, Méditerranéenne",€€-€€€
 Pizzeria da Giustina,267 avis,Pizza,€
 PizzaRotondo,112 avis,"Italienne, Pizza",€€-€€€
 Old Bear,1 264 avis,"Italienne, Internationale",€€-€€€
 Himalaya's Kashmir,3 757 avis,"Indienne, Asiatique",€€-€€€
 I Pizzicaroli,1 868 avis,"Italienne, Cuisine de rue (street food)",€€-€€€
 Cantina Belsiana,1 441 avis,"Italienne, Méditerranéenne",€€-€€€
 Tacito,777 avis,"Pizza, Méditerranéenne",€€-€€€
" Osteria Romana ""Vinelli e Fornelli""",354 avis,"Italienne, Romana",€
 Piccolo Arancio,3 503 avis,"Italienne, Saine",€€-€€€
 Bosco Officine del Tartufo,301 avis,"Italienne, Méditerranéenne",€
 Pasta e Vino Osteria,5 526 avis,"Italienne, Méditerranéenne",€€-€€€
 Saloon del Panino - Portuense,345 avis,"Italienne, Américaine",€
 Forno Feliziani,726 avis,"Italienne, Café",€
 Evo Hosteria,332 avis,"Italienne, Fruits de mer et poisson",€€-€€€
 Ristorante L’Isola,363 avis,"Italienne, Fruits de mer et poisson",€€-€€€
 Osteria Luci in cucina,171 avis,"Italienne, Méditerranéenne",€€-€€€
 Cybo,2 264 avis,"Italienne, Méditerranéenne",€€-€€€
 Ristorante Amedeo,3 213 avis,"Italienne, Romana",€€-€€€
 Giordi,645 avis,"Italienne, Bar",€€-€€€
 Sofia,1 366 avis,"Italienne, Méditerranéenne",€€-€€€
 Reserva Restaurante y Cocteles,121 avis,Barbecue/Grillades,€€€€
 Mi'Ndujo - Euroma2,363 avis,"Italienne, Restauration rapide",€€-€€€
 La Coccinella Raffinata,644 avis,"Italienne, Pizza",€€-€€€
 Sapori e Delizie,1 974 avis,"Italienne, Pizza",€
 Il Tempio di Minerva,3 061 avis,"Italienne, Saine",€€-€€€
 Bottega Tredici,486 avis,"Italienne, Fruits de mer et poisson",€€-€€€
 Il Pastaio di Roma,1 671 avis,"Italienne, Méditerranéenne",€
 Ristorante Nerone,1 739 avis,"Italienne, Romana",€€-€€€
 Il Gabriello,2 409 avis,"Italienne, Méditerranéenne",€€-€€€
 La Taverna del Vicolo,350 avis,"Italienne, Méditerranéenne",€€-€€€
 Re-Bio,709 avis,"Italienne, Internationale",€
 Matermatuta,1 723 avis,"Fruits de mer et poisson, Méditerranéenne",€€€€
 Vecchia Locanda,695 avis,"Italienne, Méditerranéenne",€€-€€€
 Sushi Doku Bar,700 avis,"Japonaise, Fruits de mer et poisson",€€-€€€
 Volee,381 avis,"Italienne, Fruits de mer et poisson",€€-€€€
 Osteria Fratelli Mori,1 372 avis,"Italienne, Méditerranéenne",€€-€€€
 La Locanda Di Pietro,1 383 avis,"Italienne, Pizza",€€-€€€
 La Soffitta Renovatio,2 698 avis,"Italienne, Pizza",€€-€€€
 Taverna Italiana,1 900 avis,"Italienne, Fruits de mer et poisson",€€-€€€
 MISTO Mixology & Cibarie,188 avis,"Internationale, Européenne",€€-€€€
 Poldo e Gianna Osteria,1 648 avis,"Italienne, Méditerranéenne",€€-€€€
 La Terrazza,283 avis,"Italienne, Méditerranéenne",€€€€
 Pirandello19,152 avis,"Italienne, Pizza",€€-€€€
 Ristorante Tema,2 082 avis,"Italienne, Fruits de mer et poisson",€€-€€€
 Le Virtù in Tavola,921 avis,"Italienne, Fruits de mer et poisson",€€-€€€
 Elettroforno Frontoni,438 avis,"Italienne, Pizza",€
 Marco G,2 368 avis,"Italienne, Méditerranéenne",€€-€€€
 Brucio - La Romana,245 avis,"Italienne, Pizza",€€-€€€
 Babette,2 202 avis,"Italienne, Méditerranéenne",€€-€€€
 Trattoria Cecio,2 387 avis,"Italienne, Méditerranéenne",€€-€€€
 Delizie e Sapori,1 195 avis,"Pizza, Grillades",€€-€€€
 Babbo's,1 882 avis,"Italienne, Pizza",€€-€€€
 Gandhi 2 Ristorante Indiano,284 avis,"Indienne, Asiatique",€€-€€€
 Clorofilla,279 avis,"Italienne, Fruits de mer et poisson",€€-€€€
 La Gattabuia,2 690 avis,"Italienne, Barbecue/Grillades",€€-€€€
 Ai Tre Tartufi,1 070 avis,"Italienne, Café",€€-€€€
 Chattanooga Saloon,571 avis,"Mexicaine, Américaine",€€-€€€
 Enoteca La Torre,512 avis,"Italienne, Méditerranéenne",€€€€
 Trattoria Re di Roma,1 631 avis,"Italienne, Méditerranéenne",€€-€€€
 Finger,953 avis,"Italienne, Méditerranéenne",€€-€€€
 Zizzi Pizza,1 290 avis,"Italienne, Pizza",€
 Fraschetteria Giampiccolo,895 avis,"Italienne, Méditerranéenne",€
 Le Tavernelle,1 774 avis,"Italienne, Méditerranéenne",€€-€€€
 La Pergola,2 643 avis,"Italienne, Fruits de mer et poisson",€€€€
 Knick Knack Yoda,691 avis,"Cuisine de rue (street food), Italie du Centre",€
 Il cavalluccio marino,1 244 avis,Fruits de mer et poisson,€€-€€€
 Rosso Tiziano,469 avis,"Italienne, Pizza",€€-€€€
 Acacie e Pepe - Cucina e cicchetti,161 avis,"Italienne, Méditerranéenne",€€-€€€
 Pizzium - Roma via Piave,938 avis,"Italienne, Pizza",€€-€€€
 Pizza in Trevi,2 181 avis,"Italienne, Pizza",€
 Pantha Rei,1 730 avis,"Italienne, Pizza",€€-€€€
 Ristorante Lin,794 avis,"Chinoise, Zhejiang",€€-€€€
 Sushita,232 avis,"Japonaise, Fruits de mer et poisson",€€-€€€
 La Pentolaccia,1 633 avis,"Italienne, Fruits de mer et poisson",€€-€€€
 La Dispensa dei Mellini,570 avis,"Italienne, Méditerranéenne",€€-€€€
 Ristorante Savoia,791 avis,"Italienne, Fruits de mer et poisson",€€-€€€
 Lepri Braceria Enoteca,276 avis,"Italienne, Steakhouse",€€-€€€
 Le Caveau,944 avis,"Italienne, Pizza",€€-€€€
 Sa Tanca Crostaceria,1 870 avis,"Italienne, Fruits de mer et poisson",€€€€
 Taverna Agape,536 avis,"Fruits de mer et poisson, Méditerranéenne",€€-€€€
 Griglieria Maremmana Bio,62 avis,"Italienne, Steakhouse",€€-€€€
 Osteria Paquino,492 avis,"Italienne, Pizza",€€-€€€
 Cantina 26,1 825 avis,"Italienne, Fruits de mer et poisson",€€-€€€
 Bull Steak,1 827 avis,"Italienne, Steakhouse",€€-€€€
 STREATART,434 avis,"Italienne, Pizza",€
