Titre,Lien_du_titre,Date,Lieux,Prix
CO-CREATION | Berlin,https://www.eventbrite.de/e/co-creation-berlin-tickets-713795330047?aff=ebdssbdestsearch,"lun. 6 nov., 20:00",Kosmos,"20,00 €"
POWER DAY,https://www.eventbrite.at/e/power-day-tickets-730234750797?aff=ebdssbdestsearch,"sam. 4 nov., 11:00",Schloss Wolfpassing,"20,00 €"
Halloween 2023 at Pyg & LPT with Krystal Klear & Ricky Chong,https://www.eventbrite.ie/e/halloween-2023-at-pyg-lpt-with-krystal-klear-ricky-chong-tickets-721302002707?aff=ebdssbdestsearch,"dim. 29 oct., 19:00",Pygmalion,"11,27 €"
HALLOWEEN TEEN DISCO,https://www.eventbrite.ie/e/halloween-teen-disco-tickets-739325882617?aff=ebdssbdestsearch,vendredi prochain à 20:00,Hayes Hotel,"22,42 €"
RNB HALLOWEEN FRANKFURT FRIDAY OCTOBER 27TH,https://www.eventbrite.de/e/rnb-halloween-frankfurt-friday-october-27th-tickets-723553557167?aff=ebdssbdestsearch,vendredi prochain à 22:00,Latin Palace Changó,"11,83 €"
Faraj Suleiman in Paris,https://www.eventbrite.co.uk/e/faraj-suleiman-in-paris-tickets-653825107497?aff=ebdssbdestsearch,"sam. 11 nov., 19:00",Cabaret Sauvage,"37,43 €"
Index x Slither x Research x Rathaus: Halloween Party,https://www.eventbrite.ie/e/index-x-slither-x-research-x-rathaus-halloween-party-tickets-719228159787?aff=ebdssbdestsearch,"mar. 31 oct., 22:00",INDEX,"11,00 €"
Germany Day 2023,https://www.eventbrite.co.uk/e/germany-day-2023-tickets-646865330617?aff=ebdssbdestsearch,"sam. 25 nov., 10:00",Culture and Congress Center Jahrhunderthalle,Vérifier le prix du billet sur l'événement
Día de Muertos at The Well,https://www.eventbrite.ie/e/dia-de-muertos-at-the-well-tickets-718373613817?aff=ebdssbdestsearch,"jeu. 2 nov., 20:00",The Well,"11,70 €"
"90s Silent Disco at Train World, Brussels!",https://www.eventbrite.co.uk/e/90s-silent-disco-at-train-world-brussels-tickets-684899692417?aff=ebdssbdestsearch,"sam. 18 nov., 18:30",Train World,"35,21 €"
Jenny Greene,https://www.eventbrite.ie/e/jenny-greene-tickets-679414455927?aff=ebdssbdestsearch,vendredi prochain à 23:00,Cyprus Avenue,"22,00 €"
NU GENEA LIVE BAND  en Barcelona,https://www.eventbrite.es/e/entradas-nu-genea-live-band-en-barcelona-663570024807?aff=ebdssbdestsearch,"jeu. 16 nov., 21:00",Sala Apolo,"26,36 €"
Y'a plus de saisons : Swann Périssé reçoit Fatima Ouassak,https://www.eventbrite.fr/e/billets-ya-plus-de-saisons-swann-perisse-recoit-fatima-ouassak-726838813457?aff=ebdssbdestsearch,"jeu. 2 nov., 21:30",Théâtre de l'Européen,"19,00 €"
FEIERABEND - Hamburgs Afterwork - HALLOWEEN SPECIAL,https://www.eventbrite.de/e/feierabend-hamburgs-afterwork-halloween-special-tickets-718593110337?aff=ebdssbdestsearch,"lun. 30 oct., 18:00",HERITAGE Hamburg,"15,00 €"
PROUD TO BE ME - KONGRESS & AWARD & NETWORKING,https://www.eventbrite.de/e/proud-to-be-me-kongress-award-networking-tickets-726037486667?aff=ebdssbdestsearch,samedi prochain à 10:00,MINI Pavillon,"112,92 €"
KaraUke die 27ste | Kantine (Halloween Edition),https://www.eventbrite.de/e/karauke-die-27ste-kantine-halloween-edition-tickets-715290923407?aff=ebdssbdestsearch,vendredi prochain à 19:00,Kantine,Vérifier le prix du billet sur l'événement
BITUP ALICANTE - Ciberseguridad & Hacking ético,https://www.eventbrite.es/e/entradas-bitup-alicante-ciberseguridad-hacking-etico-727558977487?aff=ebdssbdestsearch,samedi prochain à 08:30,"C. Jorge Juan, 21","0,00 €"
"90s Silent Disco in the Grote Kerk, Zwolle!",https://www.eventbrite.co.uk/e/90s-silent-disco-in-the-grote-kerk-zwolle-tickets-680962435977?aff=ebdssbdestsearch,"ven. 10 nov., 19:30",Grote Kerk,"34,99 €"
Beauty Trends Summit 2023,https://www.eventbrite.es/e/entradas-beauty-trends-summit-2023-700289874867?aff=ebdssbdestsearch,jeudi prochain à 09:00,UPF Barcelona School of Management,"199,65 €"
NANDO REIS,https://www.eventbrite.ie/e/nando-reis-tickets-681003960177?aff=ebdssbdestsearch,"dim. 5 nov., 19:00",The Button Factory,"43,87 €"
Index: Route 94,https://www.eventbrite.ie/e/index-route-94-tickets-717724301707?aff=ebdssbdestsearch,"sam. 28 oct., 23:00",INDEX,"22,00 €"
Kultur mit wem? Tischgespräche zu Kultur und Teilhabe,https://www.eventbrite.de/e/kultur-mit-wem-tischgesprache-zu-kultur-und-teilhabe-registrierung-705179028457?aff=ebdssbdestsearch,"jeu. 9 nov., 11:30",KAP1,"0,00 €"
Riksja Reisevent 2023,https://www.eventbrite.nl/e/tickets-riksja-reisevent-2023-699169353357?aff=ebdssbdestsearch,"dim. 5 nov., 10:00",DeFabrique Evenementenlocatie,Libre
VIII Ruta Cicloturista Vino del Condado,https://www.eventbrite.es/e/entradas-viii-ruta-cicloturista-vino-del-condado-723316618477?aff=ebdssbdestsearch,"dim. 5 nov., 10:00",Chucena,"5,00 €"
"SAY IT LOUD meets PIÑATA LA DELIO VALDEZ (ARG), AMANTES DEL FUTURO (MEX)",https://www.eventbrite.es/e/entradas-say-it-loud-meets-pinata-la-delio-valdez-arg-amantes-del-futuro-mex-626058346367?aff=ebdssbdestsearch,"sam. 25 nov., 20:00",Sala Paral·lel 62,"23,36 €"
Index: Indira Paganotto,https://www.eventbrite.ie/e/index-indira-paganotto-tickets-717713679937?aff=ebdssbdestsearch,vendredi prochain à 23:00,INDEX,"20,01 €"
"Nightmare on Main Street, Friday 27th to Monday 30th",https://www.eventbrite.ie/e/nightmare-on-main-street-friday-27th-to-monday-30th-tickets-733574159057?aff=ebdssbdestsearch,vendredi prochain à 23:00,Naas Court Hotel,"11,70 €"
KOLLEKTIV TURMSTRASSE & JONATHAN KASPAR / HALLOWEEN IM SCHROTTY,https://www.eventbrite.de/e/kollektiv-turmstrasse-jonathan-kaspar-halloween-im-schrotty-tickets-734195457377?aff=ebdssbdestsearch,"mar. 31 oct., 23:00",Schrotty,"21,10 €"
Mädelsflohmarkt Radolfzell Milchwerk 4. November,https://www.eventbrite.de/e/madelsflohmarkt-radolfzell-milchwerk-4-november-tickets-678041489347?aff=ebdssbdestsearch,"sam. 4 nov., 15:00",Milchwerk Radolfzell | Tagung : Kultur : Messe,"24,62 €"
Science & Cooking World Congress,https://www.eventbrite.es/e/entradas-science-cooking-world-congress-665160842987?aff=ebdssbdestsearch,"lun. 13 nov., 09:00",Universitat de Barcelona - Edifici Històric,"55,67 €"
ADC Digital Conference,https://www.eventbrite.de/e/adc-digital-conference-tickets-694784548287?aff=ebdssbdestsearch,"lun. 6 nov., 09:00","K20, Kunstsammlung Nordrhein-Westfalen","0,00 €"
Halloween with DJ Rowan,https://www.eventbrite.ie/e/halloween-with-dj-rowan-tickets-738171870937?aff=ebdssbdestsearch,"mar. 31 oct., 21:00",Cyprus Avenue,"11,00 €"
Old School R&B Brunch - Amsterdam (W Experience),https://www.eventbrite.co.uk/e/old-school-rb-brunch-amsterdam-w-experience-tickets-718837200417?aff=ebdssbdestsearch,"dim. 5 nov., 13:00",W Amsterdam,"27,84 €"
INT. OCEAN FILM TOUR VOL9 - LANZAROTE,https://www.eventbrite.es/e/entradas-int-ocean-film-tour-vol9-lanzarote-713579243727?aff=ebdssbdestsearch,"sam. 4 nov., 19:00",Auditorio Los Jameos Del Agua Lanzarote Canarias,"9,00 €"
"The Whistlin’ Donkeys - Headfort Arms, Kells",https://www.eventbrite.co.uk/e/the-whistlin-donkeys-headfort-arms-kells-tickets-700693843147?aff=ebdssbdestsearch,Headfort Arms Hotel,,"24,93 €"
HALLOWEEN CHURCH,https://www.eventbrite.ie/e/halloween-church-tickets-723556676497?aff=ebdssbdestsearch,"dim. 29 oct., 23:00",The Well,"11,70 €"
High Tech Pub Quiz Challenge,https://www.eventbrite.nl/e/tickets-high-tech-pub-quiz-challenge-722023781567?aff=ebdssbdestsearch,"mar. 7 nov., 18:30",Al Fresco,"30,00 €"
The Diaries of Kathleen Lynn - Revealing History Through Personal Writing,https://www.eventbrite.ie/e/the-diaries-of-kathleen-lynn-revealing-history-through-personal-writing-tickets-714637819957?aff=ebdssbdestsearch,"sam. 11 nov., 13:00",National Library of Ireland,"0,00 €"
Red Bull SoundClash,https://www.eventbrite.nl/e/tickets-red-bull-soundclash-687754741947?aff=ebdssbdestsearch,"jeu. 9 nov., 19:00",Gashouder Westergas,"24,53 €"
KLUB KIDS AMSTERDAM - presents SASHA COLBY (all ages),https://www.eventbrite.co.uk/e/klub-kids-amsterdam-presents-sasha-colby-all-ages-tickets-639492247527?aff=ebdssbdestsearch,"mar. 14 nov., 19:30",Boom Chicago,"16,70 €"
Una storia da riscrivere - Max Caranzano,https://www.eventbrite.it/e/biglietti-una-storia-da-riscrivere-max-caranzano-714487379987?aff=ebdssbdestsearch,"sam. 28 oct., 17:00",Palazzo Baronale - Comune di Torre del Greco,"20,00 €"
The Purge,https://www.eventbrite.ie/e/the-purge-tickets-726149010237?aff=ebdssbdestsearch,"dim. 29 oct., 22:00",Wrights Cafe Bar,"14,38 €"
The Class Conference '23,https://www.eventbrite.co.uk/e/the-class-conference-23-tickets-703205294967?aff=ebdssbdestsearch,"mer. 8 nov., 10:00",Barcelona Maritime Museum,"1 149,50 €"
Dag van de Ervaringsdeskundige 2023,https://www.eventbrite.nl/e/tickets-dag-van-de-ervaringsdeskundige-2023-634724216217?aff=ebdssbdestsearch,"mer. 1 nov., 09:30",Hogeschool Windesheim,"5,00 €"
Startup WORK 2023,https://www.eventbrite.de/e/startup-work-2023-tickets-696520971977?aff=ebdssbdestsearch,"sam. 11 nov., 11:00",WERK1,"0,00 €"
The Tumbling Paddies live at Queens Nightclub Ennis,https://www.eventbrite.com/e/the-tumbling-paddies-live-at-queens-nightclub-ennis-tickets-708498948427?aff=ebdssbdestsearch,"ven. 24 nov., 22:30",Queens Hotel,"22,42 €"
Chasing Abbey,https://www.eventbrite.ie/e/chasing-abbey-tickets-718015221857?aff=ebdssbdestsearch,"sam. 28 oct., 22:00",Time Square  Night Club,"17,07 €"
Magic Mike Brunch at NoLIta,https://www.eventbrite.ie/e/magic-mike-brunch-at-nolita-tickets-730276806587?aff=ebdssbdestsearch,"dim. 29 oct., 13:00",NoLIta Dublin,"46,02 €"
"L1NKN P4RK (The Linkin Park Experience) @ OPIUM, DUBLIN 08.11.23",https://www.eventbrite.co.uk/e/l1nkn-p4rk-the-linkin-park-experience-opium-dublin-081123-tickets-560483761017?aff=ebdssbdestsearch,"mer. 8 nov., 19:00",Opium,"14,00 €"
OKR Forum 2023,https://www.eventbrite.de/e/okr-forum-2023-tickets-694648230557?aff=ebdssbdestsearch,"mar. 7 nov., 16:00",The Social Hub,"0,00 €"
GodotCon,https://www.eventbrite.nl/e/godotcon-tickets-700722087627?aff=ebdssbdestsearch,"sam. 4 nov., 10:00","Microsoft Deutschland GmbH, Walter-Gropius-Straße 5, 80807 München, Germany","60,00 €"
NCI Graduation 2023,https://www.eventbrite.ie/e/nci-graduation-2023-tickets-728127598247?aff=ebdssbdestsearch,The Convention Centre Dublin (The CCD),,"60,00 €"
Core Disco,https://www.eventbrite.ie/e/core-disco-tickets-731158854817?aff=ebdssbdestsearch,vendredi prochain à 20:00,St Marys College RFC,"17,07 €"
Fist of Pure Emotion,https://www.eventbrite.ie/e/fist-of-pure-emotion-tickets-558644549887?aff=ebdssbdestsearch,"sam. 4 nov., 19:00",Cyprus Avenue,"20,36 €"
69 Danguje - koncertas MONAGHANE,https://www.eventbrite.ie/e/69-danguje-koncertas-monaghane-tickets-643096026527?aff=ebdssbdestsearch,"ven. 3 nov., 21:00","Hillgrove Hotel, Leisure & Spa","43,87 €"
Football Weekly Live tour: Dublin,https://www.eventbrite.co.uk/e/football-weekly-live-tour-dublin-tickets-672948706697?aff=ebdssbdestsearch,"lun. 20 nov., 19:30",Liberty Hall Theatre,"24,73 €"
Hypnotic Brass Ensemble,https://www.eventbrite.ie/e/hypnotic-brass-ensemble-tickets-703393748637?aff=ebdssbdestsearch,"dim. 29 oct., 19:00",Cyprus Avenue,"27,50 €"
The Taylor & Harry Night // Festsaal Kreuzberg Berlin,https://www.eventbrite.de/e/the-taylor-harry-night-festsaal-kreuzberg-berlin-tickets-689959566637?aff=ebdssbdestsearch,"ven. 10 nov., 23:45",Festsaal Kreuzberg,"12,79 €"
