Titre,Avis,Type,Price,Ville
 Restaurant Sinne,343 avis,Européenne,€€€€,Amsterdam
 La Zoccola del Pacioccone Pizzeria,2 302 avis,"Italienne, Pizza",€€-€€€,Amsterdam
 Van Speyk,1 467 avis,"Hollandaise, Européenne",€€-€€€,Amsterdam
 Gollem's Proeflokaal,475 avis,"Belge, Hollandaise",€€-€€€,Amsterdam
 Rakang,552 avis,"Asiatique, Thaï",€€-€€€,Amsterdam
 Jacketz,724 avis,"Hollandaise, Européenne",€,Amsterdam
 Jaspers,216 avis,"Française, Hollandaise",€€€€,Amsterdam
 Mangia Pizza,381 avis,"Italienne, Pizza",€€-€€€,Amsterdam
 Sugo Amsterdam,579 avis,"Italienne, Pizza",€,Amsterdam
 Casa Nostra,636 avis,Italienne,€€-€€€,Amsterdam
 New Season,303 avis,"Asiatique, Cantonaise",€€-€€€,Amsterdam
 Pasta e Basta,1 196 avis,"Italienne, Internationale",€€-€€€,Amsterdam
 Carstens Brasserie Amsterdam,149 avis,"Hollandaise, Européenne",€€-€€€,Amsterdam
 VINNIES at Haarlemmerstraat (city center),339 avis,"Café, Internationale",€€-€€€,Amsterdam
 Kartika,1 407 avis,"Asiatique, Indonésienne",€€-€€€,Amsterdam
 FuLu Mandarijn Amsterdam,2 462 avis,"Chinoise, Asiatique",€€-€€€,Amsterdam
 De Waaghals,368 avis,"Hollandaise, Européenne",€€-€€€,Amsterdam
 Cafe Piazza,1 018 avis,"Italienne, Pizza",€€-€€€,Amsterdam
 Hemelse Modder,815 avis,"Hollandaise, Européenne",€€-€€€,Amsterdam
 Mr. Sam Asian Bistro,264 avis,"Sushi, Asiatique",€€-€€€,Amsterdam
 Restaurant Daalder,1 577 avis,"Hollandaise, Internationale",€€€€,Amsterdam
 Shiraz Jardin des Vins,139 avis,"Internationale, Méditerranéenne",€€€€,Amsterdam
 Restaurant Piccolo Mondo Amsterdam,539 avis,"Italienne, Pizza",€€-€€€,Amsterdam
 Dabka,567 avis,"Libanaise, Méditerranéenne",€€-€€€,Amsterdam
 Pind Punjabi Indian Restaurant,224 avis,"Indienne, Asiatique",€€-€€€,Amsterdam
 Paskamer,195 avis,"Internationale, Méditerranéenne",€€-€€€,Amsterdam
 Formosa Argentina,399 avis,"Steakhouse, Latino",€€-€€€,Amsterdam
 Cafe Stevens,300 avis,"Hollandaise, Bar",€€-€€€,Amsterdam
 Het Karbeel,1 224 avis,"Hollandaise, Suisse",€€-€€€,Amsterdam
 Mossel en Gin,634 avis,"Hollandaise, Fruits de mer et poisson",€€-€€€,Amsterdam
 Saint Morris Argentijns Restaurant,430 avis,"Steakhouse, Barbecue/Grillades",€€-€€€,Amsterdam
 Amigo Restaurant,614 avis,"Steakhouse, Internationale",€€-€€€,Amsterdam
 Levant,240 avis,"Méditerranéenne, Européenne",€€-€€€,Amsterdam
 Locals,274 avis,"Café, Internationale",€€-€€€,Amsterdam
 MOAK Pancakes - CITY CENTER (Formerly MOOK),425 avis,"Américaine, Café",€€-€€€,Amsterdam
 Samrat Indian Restaurant,232 avis,"Indienne, Asiatique",€€-€€€,Amsterdam
 Prins Heerlijk,644 avis,"Hollandaise, Café",€,Amsterdam
 Yu Family Kitchen,419 avis,"Chinoise, Restauration rapide",€,Amsterdam
 Moeders,2 789 avis,"Hollandaise, Internationale",€€-€€€,Amsterdam
 Thaise Snackbar Bird,649 avis,"Asiatique, Thaï",€,Amsterdam
 Little Collins,432 avis,"Café, Internationale",€€-€€€,Amsterdam
 La Casa Di Michael,519 avis,"Italienne, Bar",€€-€€€,Amsterdam
 Il Pacioccone,1 736 avis,"Italienne, Méditerranéenne",€€-€€€,Amsterdam
 Excalibur Café,334 avis,,Menu,Amsterdam
 TER Restaurant Steakhouse,572 avis,"Steakhouse, Barbecue/Grillades",€€-€€€,Amsterdam
 Oresti's taverna,546 avis,"Méditerranéenne, Espagnole",€€-€€€,Amsterdam
 Van Gogh Museum Cafe Le Tambourin,1 177 avis,"Café, Européenne",€€-€€€,Amsterdam
 Amigo Argentijns Restaurant,578 avis,"Steakhouse, Barbecue/Grillades",€€-€€€,Amsterdam
 Little Thai Prince,502 avis,"Asiatique, Thaï",€€-€€€,Amsterdam
 Cafe Smalle,548 avis,"Hollandaise, Bar",€€-€€€,Amsterdam
 UMAMI by Han Amsterdam,302 avis,"Française, Japonaise",€€-€€€,Amsterdam
 Bulls and Dogs (VAN WOUSTRAAT),498 avis,"Américaine, Cuisine de rue (street food)",€,Amsterdam
 Verona Ristorante Italiano,636 avis,"Italienne, Pizza",€€-€€€,Amsterdam
 Humphrey's Amsterdam,1 793 avis,"Hollandaise, Internationale",€€-€€€,Amsterdam
 De Blauwe Hollander,1 660 avis,"Hollandaise, Internationale",€€-€€€,Amsterdam
 Ron Gastrobar Indonesia,464 avis,"Fruits de mer et poisson, Asiatique",€€-€€€,Amsterdam
 De Belhamel,1 584 avis,"Française, Hollandaise",€€€€,Amsterdam
 A-Fusion,474 avis,"Chinoise, Japonaise",€€-€€€,Amsterdam
 Croque Madame Gluten Free Food,170 avis,"Internationale, Européenne",€€-€€€,Amsterdam
 Cannibale Royale Ruysdaelkade,369 avis,"Américaine, Steakhouse",€€-€€€,Amsterdam
 Pressroom,375 avis,"Française, Bar",€€-€€€,Amsterdam
 Parallel Amsterdam,209 avis,"Méditerranéenne, Européenne",€€-€€€,Amsterdam
 Drovers Dog,413 avis,"Bar, Australienne",€€-€€€,Amsterdam
 La Casona,252 avis,"Steakhouse, Barbecue/Grillades",€€-€€€,Amsterdam
 Cannibale Royale Lange Niezel,416 avis,"Américaine, Steakhouse",€€-€€€,Amsterdam
 Lucius Visrestaurant,1 613 avis,"Hollandaise, Fruits de mer et poisson",€€-€€€,Amsterdam
 El Vino,789 avis,"Mexicaine, Latino",€€-€€€,Amsterdam
 De Bakkerswinkel Amsterdam Centre,571 avis,"Hollandaise, Café",€€-€€€,Amsterdam
 Pizzeria Fuoco Vivo,497 avis,"Italienne, Pizza",€€-€€€,Amsterdam
 Cafe-Restaurant de Bazel,158 avis,"Café, Internationale",€€-€€€,Amsterdam
