Titre,Avis,Type,Price
267. Locanda,265 avis,"Italienne, Méditerranéenne",€€-€€€
268. Cafe 'T Gasthuys,366 avis,"Hollandaise, Bar",€
269. Il Borgo Ristorante Italiano,90 avis,"Italienne, Méditerranéenne",€€-€€€
270. Hotel de Goudfazant,526 avis,"Française, Hollandaise",€€-€€€
271. Stubbe's haring,220 avis,"Hollandaise, Restauration rapide",€
272. Lotti's,463 avis,"Bar, Européenne",€€-€€€
273. Meatless District,293 avis,"Européenne, Saine",€€-€€€
274. Myrabelle,293 avis,"Hollandaise, Bar",€€-€€€
275. Belushi's,511 avis,"Bar, Internationale",€
276. EN Japanese kitchen & sake bar,212 avis,"Japonaise, Fruits de mer et poisson",€€-€€€
277. Blue Amsterdam,841 avis,"Hollandaise, Café",€€-€€€
278. La Luna Steakhouse Grill,1 143 avis,"Steakhouse, Barbecue/Grillades",€€-€€€
279. Salmuera,446 avis,"Steakhouse, Latino",€€-€€€
280. Bar-B Burgers 'N' Beer Bar,557 avis,"Américaine, Bar",€€-€€€
281. Mayur,556 avis,"Indienne, Asiatique",€€-€€€
282. Gauchos,456 avis,"Steakhouse, Barbecue/Grillades",€€-€€€
283. The Lobby Fizeaustraat,310 avis,"Hollandaise, Fruits de mer et poisson",€€-€€€
284. Grandcafé Hermes,594 avis,"Hollandaise, Bar",€€-€€€
285. Café de Doffer,193 avis,"Hollandaise, Bar",€€-€€€
286. Memories of India,717 avis,"Indienne, Asiatique",€€-€€€
287. Hasta La Pasta,682 avis,"Italienne, Européenne",€
288. Anmol Indian Restaurant,287 avis,Indienne,€€-€€€
289. Mi Sueno,220 avis,"Steakhouse, Latino",€€-€€€
290. De Nachtwacht,1 345 avis,"Steakhouse, Bar",€€-€€€
291. De Biertuin East,429 avis,"Hollandaise, Bar",€€-€€€
292. kop van jut,405 avis,"Hollandaise, Européenne",€€-€€€
293. Scheepskameel,206 avis,"Hollandaise, Fruits de mer et poisson",€€-€€€
294. Restaurant Pizzeria Lucca Due,384 avis,"Italienne, Pizza",€€-€€€
295. Restaurant d'Vijff Vlieghen,2 058 avis,"Hollandaise, Européenne",€€€€
296. Ctaste – Dineren in het donker,670 avis,"Hollandaise, Internationale",€€-€€€
297. Brasserie van Baerle,438 avis,"Française, Internationale",€€-€€€
298. Nooch,568 avis,"Japonaise, Thaï",€€-€€€
299. Oriole,206 avis,"Fruits de mer et poisson, Méditerranéenne",€€-€€€
300. Carter,213 avis,"Hollandaise, Bar",€€-€€€
301. de Luwte,954 avis,"Hollandaise, Internationale",€€-€€€
302. TDQ Steaks,1 591 avis,"Steakhouse, Internationale",€€€€
303. Restaurant 't Zwaantje,790 avis,"Française, Hollandaise",€€-€€€
304. H. Murray's Amsterdam,79 avis,Pub,€
305. Pastini,329 avis,"Italienne, Internationale",€€-€€€
306. Morgan and Mees,254 avis,"Hollandaise, Bar",€€-€€€
307. La Santa Maria International Dinner,158 avis,"Steakhouse, Internationale",€€-€€€
308. Cafe Toussaint,334 avis,"Hollandaise, Café",€€-€€€
309. Cafe Oporto,158 avis,"Café, Pub",€
310. Lillie Wine Rebel,92 avis,"Internationale, Européenne",€€-€€€
311. O'Reilly's Irish Pub,800 avis,"Irlandaise, Bar",€€-€€€
312. Vegan Junk Food Bar - 2D,750 avis,"Restauration rapide, Internationale",€€-€€€
313. De Jonge Dikkert,381 avis,"Hollandaise, Fruits de mer et poisson",€€€€
314. Calf & Bloom,464 avis,"Hollandaise, Bar",€€-€€€
315. Assaggi,661 avis,"Italienne, Napolitaine",€€-€€€
316. Steakhouse Piet de Leeuw,516 avis,"Steakhouse, Hollandaise",€€-€€€
317. Cau,3 236 avis,"Steakhouse, Barbecue/Grillades",€€-€€€
318. Balthazar's Keuken,419 avis,"Internationale, Européenne",€€-€€€
319. Corner Bakery - Amsterdam Oud Zuid,475 avis,"Café, Européenne",€€-€€€
320. Vishandel Albert Cuyp,233 avis,"Hollandaise, Fruits de mer et poisson",€
321. Pulitzer's Bar,274 avis,Bar,€€-€€€
322. Frenzi,477 avis,Italienne,€€-€€€
323. Mezebar Bodrum,78 avis,"Méditerranéenne, Européenne",€€-€€€
324. Blushing Amsterdam,1 172 avis,"Hollandaise, Café",€€-€€€
325. Dwaze Zaken,538 avis,"Française, Hollandaise",€€-€€€
326. Toasty!,149 avis,"Café, Européenne",€
327. Brouwerij de Prael,736 avis,"Hollandaise, Bar",€€-€€€
328. Hick's Amsterdam,84 avis,"Américaine, Européenne",€€-€€€
329. Roem,415 avis,"Hollandaise, Café",€
330. Cafe Brasserie Meuwese,315 avis,"Hollandaise, Bar",€€-€€€
331. Gauchos - Spuistraat,551 avis,"Steakhouse, Européenne",€€-€€€
332. Taiko Cuisine,443 avis,"Japonaise, Sushi",€€€€
333. Vegan Junk Food Bar - DE PIJP,180 avis,"Restauration rapide, Internationale",€
334. Kapitein Zeppos,351 avis,"Bar, Européenne",€€-€€€
335. Den Burgh,453 avis,"Hollandaise, Fruits de mer et poisson",€€-€€€
336. Brouwerij Troost de Pijp,306 avis,"Bar, Européenne",€€-€€€
337. Maenaam Thai Restaurant,280 avis,"Fruits de mer et poisson, Asiatique",€€-€€€
338. Restaurant Rossini (Saturnino),878 avis,"Italienne, Pizza",€€-€€€
339. Het Elfde Gebod,147 avis,Bar,€€-€€€
340. The Old Bell,507 avis,"Bar, Européenne",€€-€€€
341. Effe Anders,181 avis,"Française, Hollandaise",€€-€€€
342. Cafe P96,254 avis,"Hollandaise, Bar",€
343. Mata Hari,548 avis,"Hollandaise, Bar",€€-€€€
344. Burgermeester,619 avis,"Américaine, Restauration rapide",€
345. Royal Thai Restaurant,504 avis,"Asiatique, Thaï",€€-€€€
346. La Oliva,842 avis,"Méditerranéenne, Européenne",€€-€€€
347. Restaurant Mario,327 avis,"Italienne, Fruits de mer et poisson",€€€€
348. Himalayan Kitchen,192 avis,"Indienne, Asiatique",€€-€€€
349. The Pancake Bakery,4 868 avis,"Hollandaise, Européenne",€€-€€€
350. Harlem Soul Food,332 avis,"Bar, Européenne",€€-€€€
351. Pasta Factory,807 avis,"Italienne, Méditerranéenne",€€-€€€
352. Sapore Italiano,311 avis,"Italienne, Pizza",€€-€€€
353. Cafe Kale B.V.,268 avis,"Hollandaise, Bar",€€-€€€
354. Grand Cafe Krasnapolsky,411 avis,"Française, Hollandaise",€€-€€€
355. Restaurant Bleu,558 avis,Française,€€-€€€
356. Momenti - Italian Cuisine,127 avis,"Italienne, Méditerranéenne",€€-€€€
357. Lagom Cafe,88 avis,"Hollandaise, Café",€€-€€€
358. Tapas Bar Catala,535 avis,"Méditerranéenne, Européenne",€€-€€€
359. Gebr. Hartering,320 avis,"Hollandaise, Européenne",€€€€
360. Eetcafe Het Pakhuis,368 avis,"Grillades, Diner",€€-€€€
361. Billy Thai's Restaurant,233 avis,"Asiatique, Thaï",€€-€€€
362. Restaurant Pompstation,468 avis,"Française, Internationale",€€-€€€
363. Alfonso's Mexican & Grill Restaurant,367 avis,Mexicaine,€€-€€€
364. Restaurant Blauw Amsterdam,1 371 avis,"Asiatique, Cuisine de rue (street food)",€€-€€€
365. Koh-i-Noor,508 avis,"Indienne, Asiatique",€€-€€€
366. Casa di David,1 493 avis,"Italienne, Pizza",€€-€€€
367. Aneka Rasa,740 avis,Indonésienne,€€-€€€
368. Bluespoon,434 avis,"Internationale, Moderne",€€€€
369. De Nieuwe Pilserij,237 avis,"Bar à bières, Hollandaise",€€-€€€
370. Hotel Cafe Restaurant Koekenbier Abcoude,157 avis,"Steakhouse, Hollandaise",€€-€€€
371. Dignita Hoftuin,252 avis,"Café, Internationale",€€-€€€
372. Bagels & Beans Ijdock,410 avis,"Café, Européenne",€
373. Santi & Santini,39 avis,"Italienne, Européenne",€€-€€€
374. Infinity Steakhouse - Quality Steaks (Halal),112 avis,€€-€€€,Menu
375. Coffee & Coconuts,1 057 avis,"Bar, Café",€€-€€€
376. Eetcafe Rosereijn Amsterdam,212 avis,"Hollandaise, Bar",€€-€€€
377. Bagels & Beans,203 avis,"Café, Saine",€
378. Malaysian restaurant Wau,408 avis,"Singapourienne, Malaisienne",€€-€€€
379. Himalaya Palace Indian & Nepalese Restaurant,150 avis,"Indienne, Asiatique",€€-€€€
380. La Perla,991 avis,"Italienne, Pizza",€€-€€€
381. Marie - Brasserie - Sur l'eau,418 avis,"Internationale, Européenne",€€€€
382. Cafe De Prins,581 avis,"Hollandaise, Bar",€€-€€€
383. Kaagman en Kortekaas,275 avis,"Hollandaise, Fruits de mer et poisson",€€€€
384. Shiva Indian Restaurant,508 avis,"Indienne, Asiatique",€€-€€€
385. Pendergast,138 avis,"Américaine, Barbecue/Grillades",€€-€€€
386. Moon,735 avis,"Hollandaise, Internationale",€€€€
387. Boca's,362 avis,"Hollandaise, Bar",€€-€€€
388. de Bijenkorf Kitchen Amsterdam,475 avis,"Italienne, Internationale",€€-€€€
389. Tashi Deleg,236 avis,"Indonésienne, Tibétaine",€€-€€€
390. Mchi Food & Drinks,191 avis,"Fruits de mer et poisson, Sushi",€€-€€€
391. Sham Restaurant,60 avis,"Méditerranéenne, Moyen-Orient",€€-€€€
392. Louis,184 avis,"Hollandaise, Bar",€€-€€€
393. Auberge Jean & Marie,197 avis,"Française, Européenne",€€-€€€
394. Gourmet Bar Restaurant,157 avis,Internationale,€€-€€€
395. Lion Noir,541 avis,Européenne,€€-€€€
396. Le Pain Quotidien,542 avis,"Café, Européenne",€€-€€€
