Titre,Avis,Type,Price
 Kinnaree Thai Cuisine,620 avis,"Asiatique, Thaï",€€-€€€
 De Zotte,389 avis,"Belge, Hollandaise",€€-€€€
 De Reiger,706 avis,"Hollandaise, Bar",€€-€€€
 The Lobby Nesplein Restaurant & Bar,1 170 avis,Hollandaise,€€-€€€
 Visaandeschelde,713 avis,"Hollandaise, Fruits de mer et poisson",€€€€
 Dignita Vondelpark,414 avis,"Hollandaise, Café",€€-€€€
 Stoop & Stoop Eetcafe,698 avis,"Hollandaise, Bar",€€-€€€
 Thai Phutakun,663 avis,"Asiatique, Thaï",€€-€€€
 Eatmosfera Ristorante,1 503 avis,"Italienne, Pizza",€€-€€€
 Seasons Restaurant,1 627 avis,"Hollandaise, Internationale",€€-€€€
 Latei,355 avis,"Café, Européenne",€
 Koh-i-Noor,1 933 avis,"Indienne, Asiatique",€€-€€€
 Bakers & Roasters,1 730 avis,"Café, Européenne",€€-€€€
 Restaurant Sinne,343 avis,Européenne,€€€€
 La Zoccola del Pacioccone Pizzeria,2 302 avis,"Italienne, Pizza",€€-€€€
 Van Speyk,1 467 avis,"Hollandaise, Européenne",€€-€€€
 Gollem's Proeflokaal,475 avis,"Belge, Hollandaise",€€-€€€
 Rakang,552 avis,"Asiatique, Thaï",€€-€€€
 Jacketz,724 avis,"Hollandaise, Européenne",€
 Jaspers,216 avis,"Française, Hollandaise",€€€€
 Mangia Pizza,381 avis,"Italienne, Pizza",€€-€€€
 Sugo Amsterdam,579 avis,"Italienne, Pizza",€
 Casa Nostra,636 avis,Italienne,€€-€€€
 New Season,303 avis,"Asiatique, Cantonaise",€€-€€€
 Pasta e Basta,1 196 avis,"Italienne, Internationale",€€-€€€
 Carstens Brasserie Amsterdam,149 avis,"Hollandaise, Européenne",€€-€€€
 VINNIES at Haarlemmerstraat (city center),339 avis,"Café, Internationale",€€-€€€
 Kartika,1 407 avis,"Asiatique, Indonésienne",€€-€€€
 FuLu Mandarijn Amsterdam,2 462 avis,"Chinoise, Asiatique",€€-€€€
 De Waaghals,368 avis,"Hollandaise, Européenne",€€-€€€
 Cafe Piazza,1 018 avis,"Italienne, Pizza",€€-€€€
 Hemelse Modder,815 avis,"Hollandaise, Européenne",€€-€€€
 Mr. Sam Asian Bistro,264 avis,"Sushi, Asiatique",€€-€€€
 Restaurant Daalder,1 577 avis,"Hollandaise, Internationale",€€€€
 Shiraz Jardin des Vins,139 avis,"Internationale, Méditerranéenne",€€€€
 Restaurant Piccolo Mondo Amsterdam,539 avis,"Italienne, Pizza",€€-€€€
