Titre,Avis,Type,Price
217. Crackers,483 avis,Européenne,€€€€
218. Midtown Grill Berlin,975 avis,"Américaine, Steakhouse",€€€€
219. Bless Restaurant,70 avis,"Bar, Internationale",€€-€€€
220. Fire Tiger,91 avis,"Sushi, Asiatique",€
221. Ristorante La Sardegna,506 avis,"Italienne, Méditerranéenne",€€-€€€
222. AMRIT - Mitte,1 376 avis,"Indienne, Asiatique",€€-€€€
223. Balthazar Spreeufer 2,241 avis,"Allemande, Européenne",€€-€€€
224. Schwarzwaldstuben,809 avis,"Allemande, Bar",€€-€€€
225. L'Osteria Berlin Mercedes Platz,334 avis,"Italienne, Pizza",€€-€€€
226. The Pub,1 307 avis,"Américaine, Allemande",€€-€€€
227. Dudu,821 avis,"Japonaise, Sushi",€€-€€€
228. Little Tibet Restaurant,179 avis,"Asiatique, Tibétaine",€
229. Otito,524 avis,"Japonaise, Sushi",€€-€€€
230. Tony Roma's,975 avis,"Américaine, Barbecue/Grillades",€€-€€€
231. 136,67 avis,"Européenne, Fusion",€€-€€€
232. Prince,306 avis,"Asiatique, Thaï",€€-€€€
233. Schlogl's,308 avis,"Allemande, Européenne",€€-€€€
234. A Never Ever Ending Love Story,188 avis,"Café, Européenne",€€-€€€
235. Brasserie Colette Tim Raue,323 avis,"Française, Européenne",€€€€
236. Henne,553 avis,"Allemande, Européenne",€€-€€€
237. Ristorante Tra Di Noi,401 avis,"Italienne, Méditerranéenne",€€-€€€
238. Das Bonito,409 avis,"Méditerranéenne, Espagnole",€€-€€€
239. Mustafa's Gemuese Kebab,4 560 avis,"Restauration rapide, Turque",€
240. Saigon Food Restaurant,58 avis,"Asiatique, Vietnamienne",€€-€€€
241. Lucky Leek,403 avis,Européenne,€€€€
242. Kin Za,134 avis,"Saine, Cuisine de rue (street food)",€€-€€€
243. Mama Cook Restaurant,287 avis,"Asiatique, Vietnamienne",€€-€€€
244. Terrazza Portofino,69 avis,"Italienne, Pizza",€€-€€€
245. Sadhu 2,230 avis,"Indienne, Asiatique",€
246. Café Anna Blume,860 avis,"Allemande, Café",€€-€€€
247. Trattoria Fidelia,188 avis,"Italienne, Pizza",€
248. Restaurant Nussbaumerin,214 avis,"Autrichienne, Européenne",€€-€€€
249. Eins44,218 avis,"Européenne, Europe centrale",€€€€
250. Brauhaus Spandau,451 avis,"Allemande, Bar",€€-€€€
251. Da Lucia,194 avis,"Italienne, Pizza",€
252. Peter Pane,531 avis,"Américaine, Bar",€€-€€€
253. Restaurant Sphere,4 124 avis,"Internationale, Moderne",€€-€€€
254. Restaurant Z,137 avis,"Méditerranéenne, Européenne",€€-€€€
255. Staendige Vertretung,1 760 avis,"Allemande, Bar à bières",€€-€€€
256. Viet Bowl,184 avis,"Asiatique, Vietnamienne",€
257. Creasian,228 avis,"Chinoise, Asiatique",€€-€€€
258. Winterfeld,224 avis,"Italienne, Pizza",€€-€€€
259. Fontana di Trevi,378 avis,"Italienne, Pizza",€€-€€€
260. Sale e Pepe,90 avis,"Italienne, Pizza",€€-€€€
261. Vaust Braugaststaette,150 avis,"Allemande, Bar à bières",€€-€€€
262. Alt-Berliner Wirtshaus,1 743 avis,"Allemande, Européenne",€€-€€€
263. Marjan Grill,207 avis,"Européenne, Croate",€€-€€€
264. Lamazere Brasserie,229 avis,"Française, Européenne",€€-€€€
265. Zur Rose,256 avis,"Allemande, Européenne",€€-€€€
266. Meyan,151 avis,"Méditerranéenne, Turque",€€-€€€
267. Papaya Seb Seb,285 avis,"Asiatique, Thaï",€€-€€€
268. Da Vinci,311 avis,"Italienne, Pizza",€€-€€€
269. Five Rivers,56 avis,"Sushi, Asiatique",€€-€€€
270. Chupenga Burritos & Salads,202 avis,"Mexicaine, Américaine",€
271. Delphin Fisch & Steak,175 avis,"Fruits de mer et poisson, Méditerranéenne",€€-€€€
272. NENI Berlin,1 834 avis,"Méditerranéenne, Moyen-Orient",€€-€€€
273. Belushi's,475 avis,"Américaine, Bar",€
274. BarceLona Tapas Bar & Restaurant,651 avis,"Méditerranéenne, Européenne",€€-€€€
275. Pizza Peppino,323 avis,"Italienne, Pizza",€
276. Paulaners,356 avis,"Allemande, Bar",€€-€€€
277. Schildkrote,848 avis,"Allemande, Européenne",€€-€€€
278. Curry 36,631 avis,"Allemande, Restauration rapide",€
279. Simela,336 avis,"Italienne, Pizza",€€-€€€
280. Froindlichst Berlin,43 avis,"Américaine, Bar",€
281. Windburger,157 avis,"Américaine, Restauration rapide",€
282. Byblos Restaurant Berlin,59 avis,"Libanaise, Café",€€-€€€
283. Nante Eck,1 017 avis,"Allemande, Internationale",€€-€€€
284. Curry Baude,106 avis,"Allemande, Restauration rapide",€
285. Osmans Tochter,408 avis,"Méditerranéenne, Turque",€€-€€€
286. AMRIT - Schöneberg,535 avis,"Indienne, Asiatique",€€-€€€
287. Yaam,274 avis,"Caraïbes, Africaine",€
288. Indian Village,171 avis,"Indienne, Asiatique",€€-€€€
289. Omoni,278 avis,"Japonaise, Fruits de mer et poisson",€€-€€€
290. Paris-Moskau,282 avis,"Européenne, Moderne",€€€€
291. Currymitte Berlin,165 avis,"Allemande, Restauration rapide",€
292. Restaurant Masel Topf,327 avis,Israélienne,€€-€€€
293. Lubitsch,247 avis,"Allemande, Européenne",€€-€€€
294. Prometeo,173 avis,"Italienne, Pizza",€€-€€€
295. Diekmann,328 avis,€€€€,Menu
296. Salut Mediterranean Food,147 avis,"Italienne, Méditerranéenne",€
297. Sale e Tabacchi,613 avis,"Italienne, Méditerranéenne",€€-€€€
298. 893 Ryōtei,275 avis,"Japonaise, Fruits de mer et poisson",€€€€
299. Bandol sur Mer,209 avis,Européenne,€€€€
300. Speisehaus,356 avis,"Allemande, Européenne",€€-€€€
301. Restaurante Serrano,218 avis,"Péruvienne, Latino",€€€€
302. Peter Pane,2 177 avis,"Américaine, Bar",€€-€€€
303. Gruenfisch,160 avis,"Italienne, Méditerranéenne",€€-€€€
304. Restaurant Richard,224 avis,"Européenne, Europe centrale",€€€€
305. Suksan,579 avis,"Asiatique, Thaï",€€-€€€
306. FREA,78 avis,Saine,€€-€€€
307. Al Dente,140 avis,"Italienne, Pizza",€€-€€€
308. Cassambalis Taverna,436 avis,"Fruits de mer et poisson, Méditerranéenne",€€-€€€
309. KING KING,276 avis,"Japonaise, Fruits de mer et poisson",€€-€€€
310. Pratirio,332 avis,"Méditerranéenne, Grecque",€€-€€€
311. Benedict,618 avis,Internationale,€€-€€€
312. Café Datscha Mitte,432 avis,"Européenne, Brasserie gastronomique",€€-€€€
313. Hausbrauerei Eschenbrau,130 avis,"Allemande, Bar",€
314. Qua Phe,131 avis,"Asiatique, Vietnamienne",€
315. Alt Berliner Gasthaus Julchen Hoppe,485 avis,"Allemande, Européenne",€€-€€€
316. KIM999 Vietnamese Vegan & Veggie Cuisine,65 avis,"Sushi, Asiatique",€€-€€€
317. Salt n Bone,203 avis,"Bar, Européenne",€€-€€€
318. Zollpackhof,693 avis,Allemande,€€-€€€
319. Milja & Schafa,146 avis,"Café, Internationale",€€-€€€
320. My Anh,141 avis,"Asiatique, Vietnamienne",€
321. Ristorante Lungomare,652 avis,"Italienne, Pizza",€€-€€€
322. Ristorante Bonfini,402 avis,"Italienne, Méditerranéenne",€€-€€€
323. Hops & Barley Hausbrauerei,107 avis,"Allemande, Bar",€
324. Hamy Cafe,345 avis,"Asiatique, Vietnamienne",€
325. Long March Canteen,428 avis,"Chinoise, Asiatique",€€-€€€
326. Com Viet,157 avis,"Asiatique, Vietnamienne",€
327. Fam Dang,283 avis,"Asiatique, Vietnamienne",€
328. Avan,193 avis,"Asiatique, Vietnamienne",€€-€€€
329. Restaurant Esszimmer,99 avis,"Allemande, Européenne",€€-€€€
330. Restaurant Berlinchen,412 avis,"Allemande, Diner",€€-€€€
331. Ristorante Stella Alpina,161 avis,"Italienne, Méditerranéenne",€€-€€€
332. Café Datscha Friedrichshain,309 avis,"Café, Européenne",€€-€€€
333. Samadhi,409 avis,"Asiatique, Thaï",€€-€€€
334. Ratskeller Kopenick,256 avis,"Allemande, Européenne",€€-€€€
335. Riviera Restaurant & Bar,170 avis,"Fruits de mer et poisson, Méditerranéenne",€€-€€€
336. Golden Rice,192 avis,"Japonaise, Sushi",€€-€€€
337. Joynes Kitchen,91 avis,"Française, Européenne",€€€€
338. Metzer Eck,228 avis,"Allemande, Bar",€
339. BLOCK HOUSE Bikini Am Zoo Palast,483 avis,"Américaine, Steakhouse",€€-€€€
340. Loft14,332 avis,Bar,€€-€€€
341. Trattoria Piazza Rossa,853 avis,"Italienne, Pizza",€€-€€€
342. mix.it,93 avis,"Italienne, Méditerranéenne",€€-€€€
343. Ryong,83 avis,"Japonaise, Asiatique",€€-€€€
344. 12 Apostoli am Savignyplatz,735 avis,"Italienne, Pizza",€€-€€€
345. Marlene Bar,224 avis,"Bar, Européenne",€€-€€€
346. Com Nam,95 avis,Vietnamienne,€
347. Good Morning Vietnam,468 avis,"Asiatique, Vietnamienne",€€-€€€
348. Antonello's Cevicheria & Street Food,119 avis,"Italienne, Fruits de mer et poisson",€€-€€€
349. Ristorante Piccolo Mondo,219 avis,"Italienne, Méditerranéenne",€€€€
350. 12 Apostoli Berlin Charlottenburg,1 119 avis,"Italienne, Pizza",€€-€€€
351. Kuchi,468 avis,"Japonaise, Sushi",€€-€€€
352. Hard Rock Cafe Berlin,3 457 avis,"Américaine, Bar",€€-€€€
353. Monkey Bar,2 072 avis,Bar,€€-€€€
354. Osteria Ribaltone,314 avis,"Italienne, Méditerranéenne",€€-€€€
355. Samos,184 avis,"Méditerranéenne, Européenne",€€-€€€
356. Bristol Grill,132 avis,"Internationale, Européenne",€€€€
357. La Cantina,315 avis,"Italienne, Pizza",€
358. Hirsch Bar,92 avis,"Allemande, Bar",€
359. Jules Verne,294 avis,Française,€€-€€€
360. Lode & Stijn,111 avis,Européenne,€€€€
361. Pastarium Berlin,114 avis,"Italienne, Méditerranéenne",€€-€€€
362. Sisal,245 avis,"Italienne, Pizza",€€-€€€
363. Chicago Williams BBQ,443 avis,"Américaine, Barbecue/Grillades",€€-€€€
364. Zur Letzten Instanz,2 066 avis,"Allemande, Européenne",€€-€€€
365. Latino,180 avis,"Italienne, Pizza",€€-€€€
366. muret la barba,374 avis,"Italienne, Méditerranéenne",€€-€€€
367. AMRIT Kreuzberg,202 avis,Indienne,€€-€€€
368. Cafe am Petriplatz,87 avis,"Allemande, Café",€€-€€€
369. Habels Lindenwirtin,122 avis,"Allemande, Européenne",€€-€€€
370. SOLAR BERLIN Sky-Bar & Restaurant,821 avis,"Européenne, Moderne",€€€€
371. Burgerie,183 avis,"Américaine, Bar",€
372. Fleischerei,415 avis,"Allemande, Internationale",€€-€€€
373. Hofbrau Wirtshaus Berlin,6 557 avis,"Allemande, Bar",€€-€€€
374. BrewDog Berlin Mitte,263 avis,"Bar, Européenne",€€-€€€
