Titre,Date,Lieux,Prix
The Class Conference '23,"mer. 8 nov., 10:00",Barcelona Maritime Museum,"1 149,50 "
Dag van de Ervaringsdeskundige 2023,"mer. 1 nov., 09:30",Hogeschool Windesheim,"5,00 "
Startup WORK 2023,"sam. 11 nov., 11:00",WERK1,"0,00 "
The Tumbling Paddies live at Queens Nightclub Ennis,"ven. 24 nov., 22:30",Queens Hotel,"22,42 "
Chasing Abbey,"sam. 28 oct., 22:00",Time Square  Night Club,"17,07 "
Magic Mike Brunch at NoLIta,"dim. 29 oct., 13:00",NoLIta Dublin,"46,02 "
"L1NKN P4RK (The Linkin Park Experience) @ OPIUM, DUBLIN 08.11.23","mer. 8 nov., 19:00",Opium,"14,00 "
OKR Forum 2023,"mar. 7 nov., 16:00",The Social Hub,"0,00 "
GodotCon,"sam. 4 nov., 10:00","Microsoft Deutschland GmbH, Walter-Gropius-Straße 5, 80807 München, Germany","60,00 "
NCI Graduation 2023,The Convention Centre Dublin (The CCD),,"60,00 "
Core Disco,vendredi prochain à 20:00,St Marys College RFC,"17,07 "
Fist of Pure Emotion,"sam. 4 nov., 19:00",Cyprus Avenue,"20,36 "
69 Danguje - koncertas MONAGHANE,"ven. 3 nov., 21:00","Hillgrove Hotel, Leisure & Spa","43,87 "
Football Weekly Live tour: Dublin,"lun. 20 nov., 19:30",Liberty Hall Theatre,"24,73 "
Hypnotic Brass Ensemble,"dim. 29 oct., 19:00",Cyprus Avenue,"27,50 "
The Taylor & Harry Night // Festsaal Kreuzberg Berlin,"ven. 10 nov., 23:45",Festsaal Kreuzberg,"12,79 "
Hardwear.io – Hardware Security Conference and Training – NL 2023,"lun. 30 oct., 09:00",The Hague Marriott Hotel,"182,99 "
Waliversum 2023 – Episode 2,samedi prochain à 12:00,Factory Hammerbrooklyn,"129,00 "
Cloud Day 2023,"lun. 13 nov., 09:30",Talent Garden Calabiana,"0,00 "
"Dalia Lazar, Pianoforte","sam. 28 oct., 19:00",Museo del tulle,"5,00 "
V Barcelona Perfumery Congress,"mer. 22 nov., 09:00",Barcelona,"150,00 "
Púca Spooka - Tullamore - Sat 28 Oct - 3:00pm Timeslot,samedi prochain à 15:00,Lloyd Town Park,"0,00 "
Mädelsflohmarkt Ulm 11. & 12.11.23,"sam. 11 nov., 11:00",Ulm-Messe,"24,62 "
Baile das Bruxas - Halloween | Claridge Events | Brussels,"sam. 28 oct., 21:00",Claridge Events | Salle événements,"17,24 "
End to End Svalbard Movie Premiere,"lun. 6 nov., 20:00",Filmtheater Sendlinger Tor,"9,17 "
Introduzione a Bitcoin,samedi prochain à 15:00,Nana Bianca,"15,00 "
#51 Silicon Drinkabout Rome - 27 Ottobre,vendredi prochain à 19:00,The Hub - LVenture Group,"0,00 "
TYPO3 Camp RheinRuhr 2023,"ven. 3 nov., 18:00",Hochschule Rhein-Waal,"52,69 "
MALDITOUR en Mérida,"sam. 28 oct., 17:00","Pl. Santo Domingo, 1","39,04 "
Meet Cosmico - Roma,mardi prochain à 18:45,The Hub - LVenture Group,"15,00 "
South Dublin Speed Dating (Ages 40s/50s) 2 MALE TICKETS LEFT!,"ven. 3 nov., 19:30",The Hill Pub,"33,15 "
A.I. Day 2023,"ven. 24 nov., 09:00",Sede Microsoft Roma,"0,00 "
Baby Market Limerick,"dim. 5 nov., 12:00",Castle Oaks House Hotel,"6,34 "
Apeldoorn Business Awards 2023,jeudi prochain à 19:30,Theater & Congres Orpheus,"28,00 "
"MAGIC HALLOWEEN HIGH SCHOOL - 2000er, 90er, 10er Grusical Party","sam. 28 oct., 22:00",MTW Club,"14,95 "
